Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
20.4,6,245.4,2.262686648003642,0.0,0.1,0.0,0.5,1.0,0.0,0.0,10,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3165,60,1205,316.5,470.3958734701844,316.5,0.4419524908065796,10,221272.27777777775
20.0,6,246.0,19.233768270526227,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1075,60,267,107.5,65.3490627323759,107.5,0.0620394945144653,10,4270.5
20.0,6,246.0,79.84739857983209,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0358879089355468,10,0.0
20.0,6,246.0,71.70314246932237,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0220093965530395,10,0.0
20.0,6,246.0,19.87901882303316,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0567763090133667,10,0.0
20.0,6,246.0,776722.9629629629,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,1.2874603271484376e-06,10,0.0
20.0,6,246.0,36.69172090419204,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0272541046142578,10,0.0
20.0,6,246.0,14.362244758194858,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0696269989013671,10,0.0
20.0,6,246.0,14.739000842669585,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,790,60,155,79.0,40.05551702879947,79.0,0.0678625106811523,10,1604.4444444444443
20.0,6,246.0,94.73921499093107,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1206,60,395,120.6,128.64352123428353,120.6,0.0105798959732055,10,16549.155555555553
20.0,6,246.0,78.41594080156446,0.0,0.0,0.0,0.3,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1637,60,571,163.7,196.74295130674665,163.7,0.016170310974121,10,38707.788888888885
20.0,6,246.0,40.70171897470932,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1764,60,363,176.4,150.3427195887228,176.4,0.0245689868927001,10,22602.93333333333
20.0,6,246.0,46.34779543473048,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1764,60,363,176.4,150.3427195887228,176.4,0.0252420902252197,10,22602.93333333333
20.0,6,246.0,44.81467472716744,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1908,60,427,190.8,169.95345768114805,190.8,0.0223141193389892,10,28884.177777777782
20.0,6,246.0,31.177323226091318,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2338,60,395,233.8,165.71649150146632,233.8,0.0328769922256469,10,27461.95555555556
20.0,6,246.0,98.20587085248413,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1254,60,395,125.4,137.92687273414933,125.4,0.0155230998992919,10,19023.822222222225
20.0,6,246.0,31.73555319821858,0.0,0.0,0.0,0.3,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1637,60,443,163.7,168.0483065470561,163.7,0.0315834999084472,10,28240.233333333337
20.0,6,246.0,38.78479420766948,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2483,60,651,248.3,214.94291231756296,248.3,0.0257833003997802,10,46200.45555555556
20.0,6,246.0,38.081430610384565,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1684,60,443,168.4,156.99483360218508,168.4,0.0262720108032226,10,24647.37777777778
20.0,6,246.0,56.897377809731815,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1908,60,427,190.8,169.61839522881945,190.8,0.0180646896362304,10,28770.400000000005
20.0,6,246.0,17.18658674704522,0.0,0.0,0.0,0.8,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4207,60,1370,420.7,361.69817067088775,420.7,0.0581849098205566,10,130825.56666666664
20.0,6,246.0,27.014623809661828,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4683,60,1695,468.3,616.4974632731446,468.3,0.0370170831680297,10,380069.1222222223
20.0,6,246.0,31.75681824892845,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2307,60,507,230.7,185.62929007388172,230.7,0.034703516960144,10,34458.23333333334
20.0,6,246.0,48.30828448914294,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1860,60,411,186.0,163.42854367854133,186.0,0.0207667827606201,10,26708.88888888889
20.0,6,246.0,52.47583146394957,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1892,60,411,189.2,167.37104488730023,189.2,0.0255490064620971,10,28013.066666666666
20.0,6,245.7,41.50770716723009,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2098,60,427,209.8,164.53219880754176,209.8,0.0257208108901977,10,27070.844444444447
20.0,6,246.0,87.0017880330392,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,919,60,379,91.9,100.87665735937132,91.9,0.015132999420166,10,10176.100000000002
20.0,6,246.0,194.39403419492683,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1254,60,411,125.4,138.33871475476417,125.4,0.005144190788269,10,19137.6
20.0,6,246.0,49.79288894165133,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1956,60,443,195.6,176.2531008395471,195.6,0.0252636909484863,10,31065.15555555556
20.0,6,246.0,29.643861253602733,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2609,60,411,260.9,156.91997252669202,260.9,0.037824010848999,10,24623.87777777778
20.0,6,246.0,74.91420498284457,0.0,0.0,0.0,0.3,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1573,60,411,157.3,157.09095030162197,157.3,0.0200002908706665,10,24677.566666666666
20.0,6,246.0,154.37091235650692,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1254,60,411,125.4,138.33871475476417,125.4,0.0119091987609863,10,19137.60000000001
20.0,6,246.0,36.05732992214794,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1908,60,411,190.8,169.2826695861754,190.8,0.0277336120605468,10,28656.622222222228
20.0,6,246.0,70.56176145998762,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1270,60,427,127.0,142.0516338049889,127.0,0.0142197847366333,10,20178.666666666668
20.0,6,246.0,39.81810690681112,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2290,60,459,229.0,163.9606998982107,229.0,0.0283337116241455,10,26883.11111111111
20.0,6,246.0,78.42649778331248,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1286,60,411,128.6,144.67066046714513,128.6,0.0172282934188842,10,20929.59999999999
20.0,6,246.0,32.71039903170511,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2227,60,411,222.7,171.93154322449257,222.7,0.03247971534729,10,29560.45555555556
20.0,6,246.0,88.42045792321849,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1286,60,411,128.6,144.67066046714513,128.6,0.014145278930664,10,20929.59999999999
20.0,6,234.2,37.97141938900683,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2306,60,395,230.6,162.88591781434704,230.6,0.0290054082870483,10,26531.822222222218
