Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
15.2,6,115.2,28.49960522006433,0.0,0.1,0.0,0.3,0.5,0.0,0.0,5,1,0,0,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.6,0.3,0.2,0.1,0.0,0.0,0.9,0.9,1542,60,342,154.2,127.65996501122297,154.2,0.0350882053375244,10,16297.066666666668
15.6,6,115.2,87.83956305393134,0.0,0.0,0.0,0.7,0.7,0.0,0.0,7,0,0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.2,0.1,0.0,0.0,0.9,0.9,1777,60,348,177.7,95.42542172351722,177.7,0.0113881826400756,10,9106.011111111113
19.2,6,210.5,29.269106931265156,0.1,0.1,0.0,0.2,0.9,0.0,0.0,9,1,1,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,2959,60,2241,295.9,684.4419381267243,295.9,0.0341657161712646,10,468460.7666666666
19.6,6,186.8,2.0207461726883333,0.1,0.1,0.0,0.2,0.8,0.0,0.0,8,1,1,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1144,60,491,114.4,135.06887132126334,114.4,0.4981873989105224,10,18243.599999999995
18.8,6,160.9,43.56559709833021,0.0,0.2,0.0,0.5,0.7,0.0,0.0,7,2,0,0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1315,60,321,131.5,87.57885335830537,131.5,0.0259753942489624,10,7670.055555555556
20.0,6,205.0,43.76232747791175,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1814,60,1106,181.4,326.6636734556745,181.4,0.0228718996047973,10,106709.15555555554
20.0,6,139.0,122.74167588479388,0.0,0.0,0.0,0.8,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1383,60,321,138.3,77.19679037657228,138.3,0.0092948913574218,10,5959.344444444443
18.0,6,162.1,99.01590891385484,0.1,0.1,0.0,0.4,0.8,0.0,0.0,8,1,1,0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,973,60,153,97.3,35.584172511572234,97.3,0.0150537014007568,10,1266.2333333333331
20.8,6,174.4,43.65933200026231,0.0,0.1,0.0,0.4,0.9,0.0,0.0,9,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3171,60,2241,317.1,680.2162156255907,317.1,0.0229518175125122,10,462694.10000000015
20.0,6,174.4,111.6459530609909,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2014,60,539,201.4,174.4535595636972,201.4,0.0089568853378295,10,30434.044444444447
