Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
23.2,6,93.5,2.9188183330816493,0.0,0.0,0.0,0.4,0.7,0.0,0.0,7,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.0,0.2,0.0,1.0,1.0,1705,66,376,170.5,143.70745747292773,170.5,0.342604398727417,10,20651.83333333333
27.6,6,111.2,9.390209009917438,0.0,0.0,0.0,0.3,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.1,0.0,1.0,1.0,2772,66,1466,277.2,436.1551202140001,277.2,0.1131229162216186,10,190231.28888888887
24.0,6,122.0,76.56144642091141,0.0,0.2,0.0,0.3,0.6,0.0,0.0,6,2,0,0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,5907,66,2866,590.7,919.2492166013644,590.7,0.0130931854248046,10,845019.1222222224
10.4,17,124.2,144.70352417588106,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,1328,66,203,132.8,46.319662251695135,132.8,0.0078007936477661,10,2145.511111111111
29.6,6,120.7,42.50237120505857,0.0,0.0,0.0,0.7,0.9,0.0,0.0,9,0,0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1407,66,174,140.7,46.86635846271348,140.7,0.0235282182693481,10,2196.4555555555557
24.8,6,105.3,77.60001332092514,0.0,0.0,0.0,0.3,0.7,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,3977,66,1466,397.7,572.7609642968192,397.7,0.0140170812606811,10,328055.1222222222
12.8,17,86.0,57.39442189642385,0.0,0.0,0.0,0.2,0.2,0.0,0.0,2,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,1.0,1360,106,162,136.0,24.385788210895843,136.0,0.0174234151840209,10,594.6666666666666
17.6,17,91.5,196.55671098322784,0.0,0.0,0.0,0.3,0.4,0.0,0.0,4,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1236,66,154,123.6,28.17090697865442,123.6,0.0088634967803955,10,793.6000000000001
12.8,17,75.0,111.51623435323144,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,1.0,1733,66,688,173.3,182.58882161232592,173.3,0.0089673042297363,10,33338.677777777775
10.4,17,64.0,73.93175997363045,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,1113,66,154,111.3,25.794271543202075,111.3,0.0145943880081176,10,665.3444444444444
