Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
22.4,6,111.4,1.820953663387726,0.0,0.0,0.0,0.3,0.7,0.0,0.0,7,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.3,0.0,1.0,1.0,1602,66,376,160.2,148.9263800227034,160.2,0.5491627931594849,10,22179.066666666666
28.8,6,117.1,5.534732680834678,0.0,0.0,0.0,0.6,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,1.0,1.0,7607,66,2866,760.7,921.8859956029752,760.7,0.1806771993637085,10,849873.7888888889
8.0,17,120.7,101.3058180202114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1374,93,203,137.4,41.13986982100076,137.4,0.0124319076538085,10,1692.4888888888888
24.0,6,134.8,31.410384296245702,0.0,0.2,0.0,0.4,0.6,0.0,0.0,6,2,0,0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,4466,74,1466,446.6,551.7052755875288,446.6,0.0326339960098266,10,304378.7111111112
7.2,17,85.6,33.64600296166046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,1.0,1.0,1092,70,138,109.2,17.158088471621777,109.2,0.0308150053024292,10,294.4000000000001
4.8,17,97.0,356.9772330737478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,1.0,1.0,1442,118,170,144.2,24.737735457304,144.2,0.0071723937988281,10,611.9555555555555
20.8,6,107.6,197.35115042582223,0.0,0.0,0.0,0.4,0.6,0.0,0.0,6,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.2,0.0,1.0,1.0,1424,66,174,142.4,44.48020783324746,142.4,0.0054115056991577,10,1978.4888888888888
29.6,6,118.9,60.899457839547225,0.0,0.0,0.0,0.5,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1208,66,238,120.8,55.61934116034737,120.8,0.0211961030960083,10,3093.511111111111
29.6,6,118.9,77.620549263454,0.0,0.0,0.0,0.5,0.9,0.0,0.0,9,0,0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1304,66,314,130.4,75.83490840855109,130.4,0.012883186340332,10,5750.9333333333325
27.2,6,115.0,37.39912153209368,0.0,0.0,0.0,0.2,0.8,0.0,0.0,8,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,972,66,154,97.2,40.47715405015526,97.2,0.029577898979187,10,1638.4
