Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
4.0,17,64.0,2.186050816942094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.4,0.0,0.1,0.6,0.6,1933,60,355,193.3,144.70049527673822,193.3,0.4574459075927734,10,20938.233333333337
24.8,6,76.7,35.706627551702326,0.0,0.1,0.0,0.3,0.6,0.0,0.0,6,1,0,0,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.9,0.9,2743,60,1443,274.3,427.59041928774167,274.3,0.0391812086105346,10,182833.5666666667
21.6,6,74.9,46.289841253023965,0.0,0.1,0.0,0.3,0.6,0.0,0.0,6,1,0,0,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.1,0.0,0.1,0.9,0.9,4232,60,2876,423.2,870.4159669695608,423.2,0.0360492944717407,10,757623.9555555556
24.8,6,117.7,30.74538596077132,0.0,0.0,0.0,0.5,0.7,0.0,0.0,7,0,0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,2300,66,598,230.0,156.1103598242104,230.0,0.0399420976638793,10,24370.444444444445
28.0,6,64.0,38.01602285509187,0.0,0.1,0.0,0.2,0.7,0.0,0.0,7,1,0,0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,2166,66,1007,216.6,320.9067708160043,216.6,0.0314945936203002,10,102981.15555555554
26.0,6,83.1,79.57472158454912,0.1,0.0,0.3,0.4,0.6,0.0,0.0,6,0,1,3,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,3323,60,1419,332.3,482.4790266023085,332.3,0.0149556159973144,10,232786.01111111115
24.8,6,66.1,27.64080367357483,0.0,0.1,0.0,0.4,0.7,0.0,0.0,7,1,0,0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.9,0.9,4689,60,2882,468.9,869.8457653834704,468.9,0.0384557962417602,10,756631.6555555555
20.0,6,118.0,9.98991077850872,0.1,0.0,0.0,0.3,0.5,0.0,0.0,5,0,1,0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,2611,66,1191,261.1,340.9771742116081,261.1,0.1001049995422363,10,116265.43333333332
32.8,6,64.0,45.74819158311737,0.0,0.1,0.0,0.4,0.9,0.0,0.0,9,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3353,66,1434,335.3,448.327521647586,335.3,0.0329330921173095,10,200997.56666666668
28.0,6,75.6,30.49626640491511,0.0,0.1,0.0,0.3,0.8,0.0,0.0,8,1,0,0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1254,66,236,125.4,73.03758545357923,125.4,0.0327908992767334,10,5334.488888888888
27.2,6,60.4,26.264367960043984,0.0,0.0,0.0,0.5,0.8,0.0,0.0,8,0,0,0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,5074,66,2882,507.4,915.9798881828988,507.4,0.0401492118835449,10,839019.1555555555
30.4,6,82.1,47.30325572582792,0.0,0.1,0.0,0.2,0.8,0.0,0.0,8,1,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,3571,66,2402,357.1,728.034866381183,357.1,0.0218946933746337,10,530034.7666666668
28.0,6,75.2,29.40302996101612,0.0,0.1,0.0,0.6,0.8,0.0,0.0,8,1,0,0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,5458,66,2882,545.8,919.6033927732108,545.8,0.037395691871643,10,845670.3999999999
27.2,6,60.0,23.73577668482656,0.0,0.0,0.0,0.5,0.8,0.0,0.0,8,0,0,0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,4756,66,2882,475.6,902.1378559350622,475.6,0.0476145982742309,10,813852.7111111112
32.8,6,64.0,41.7036609859407,0.0,0.1,0.0,0.4,0.9,0.0,0.0,9,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2750,66,1435,275.0,439.0474537754053,275.0,0.0276276111602783,10,192762.66666666663
20.8,6,76.8,44.83201504980974,0.1,0.1,0.0,0.1,0.4,0.0,0.0,4,1,1,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1413,66,583,141.3,160.5331741416708,141.3,0.0223310947418212,10,25770.9
31.2,6,63.4,154.22333185028845,0.0,0.2,0.0,0.3,0.8,0.0,0.0,8,2,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,2534,66,1435,253.4,426.91690578430416,253.4,0.0064841032028198,10,182258.04444444444
27.2,6,62.5,159.11684035220165,0.0,0.0,0.0,0.4,0.8,0.0,0.0,8,0,0,0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,4930,66,2882,493.0,891.1525620727849,493.0,0.0103755950927734,10,794152.8888888889
32.8,6,62.0,117.02334717200124,0.0,0.1,0.0,0.7,0.9,0.0,0.0,9,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2622,66,729,262.2,255.43940355569435,262.2,0.0085453033447265,10,65249.28888888887
32.0,6,63.4,1634.5052803865788,0.1,0.0,0.0,0.2,1.0,0.0,0.0,10,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1932,66,1274,193.2,380.2866754904194,193.2,0.0009515047073364,10,144617.95555555553
29.6,6,69.8,1982.5600302514652,0.0,0.0,0.0,0.1,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,10981,66,1494,1098.1,640.9611619365959,1098.1,0.0005043983459472,10,410831.2111111112
32.0,6,64.0,4955.463137996219,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14940,1494,1494,1494.0,0.0,1494.0,0.0017143011093139,10,0.0
29.6,6,70.4,548.1532208528823,0.0,0.0,0.0,0.1,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,11986,66,1494,1198.6,567.9749994497997,1198.6,0.0019571065902709,10,322595.6
32.0,6,64.0,7558.666426383132,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14940,1494,1494,1494.0,0.0,1494.0,0.0001372814178466,10,0.0
32.0,6,64.0,9929.69696969697,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13512,66,1494,1351.2,451.5732498720446,1351.2,0.0001068115234375,10,203918.4
32.0,6,64.0,7710.117647058823,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14940,1494,1494,1494.0,0.0,1494.0,0.0001296997070312,10,0.0
32.0,6,64.0,542.0888423610303,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13538,92,1494,1353.8,443.3513279556068,1353.8,0.0018763065338134,10,196560.4
32.0,6,64.0,30977.134416543573,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14940,1494,1494,1494.0,0.0,1494.0,3.2281875610351564e-05,10,0.0
32.0,6,64.0,127875.12195121952,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14940,1494,1494,1494.0,0.0,1494.0,0.0002214193344116,10,0.0
32.0,6,64.0,inf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14940,1494,1494,1494.0,0.0,1494.0,0.0,10,0.0
32.0,6,64.0,2503.763132760268,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14940,1494,1494,1494.0,0.0,1494.0,0.0003993988037109,10,0.0
32.0,6,64.0,6596.892104435357,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14940,1494,1494,1494.0,0.0,1494.0,0.0001515865325927,10,0.0
32.0,6,64.0,7468.490028490029,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14940,1494,1494,1494.0,0.0,1494.0,0.0001338958740234,10,0.0
32.0,6,64.0,inf,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14410,964,1494,1441.0,167.6007159889241,1441.0,0.0,10,28090.0
32.0,6,64.0,19572.11385907606,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14940,1494,1494,1494.0,0.0,1494.0,0.0012392997741699,10,0.0
32.0,6,64.0,6742.17006912072,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14940,1494,1494,1494.0,0.0,1494.0,0.000148320198059,10,0.0
32.0,6,64.0,7112.606410039003,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14940,1494,1494,1494.0,0.0,1494.0,0.0001405954360961,10,0.0
32.0,6,64.0,18833.875168387967,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14940,1494,1494,1494.0,0.0,1494.0,5.3095817565917966e-05,10,0.0
32.0,6,64.0,19266.44005512173,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14940,1494,1494,1494.0,0.0,1494.0,5.190372467041016e-05,10,0.0
32.8,6,62.9,122.7463455319647,0.0,0.1,0.0,0.3,1.0,0.0,0.0,10,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11016,66,1494,1101.6,602.8738950504768,1101.6,0.0081468820571899,10,363456.93333333335
28.0,6,80.1,84.36612324124268,0.0,0.1,0.0,0.5,0.8,0.0,0.0,8,1,0,0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,5151,66,2882,515.1,888.0050612968874,515.1,0.0118664026260375,10,788552.9888888889
28.0,6,137.1,106.21341423268017,0.0,0.1,0.0,0.3,0.8,0.0,0.0,8,1,0,0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,3072,66,1822,307.2,547.2959386332449,307.2,0.0136918067932128,10,299532.8444444445
32.0,6,229.6,331.3900147747833,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9468,66,2922,946.8,1198.7201322892497,946.8,0.0030961990356445,10,1436929.9555555556
32.0,6,185.5,452.36726021635263,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2543,66,1466,254.3,446.0854551914166,254.3,0.0022582054138183,10,198992.2333333333
