Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
22.4,6,64.0,9.2437429641129,0.0,0.0,0.0,0.4,0.6,0.0,0.0,6,0,0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1956,66,359,195.6,142.19642127079788,195.6,0.1081812858581543,10,20219.82222222222
21.6,6,64.0,162.41694837807802,0.0,0.2,0.0,0.1,0.3,0.0,0.0,3,2,0,0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1085,62,359,108.5,90.89829481348922,108.5,0.0061578035354614,10,8262.5
15.2,17,64.0,141.99880829857537,0.0,0.0,0.0,0.1,0.3,0.0,0.0,3,0,0,0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0,943,62,206,94.3,46.780931537919976,94.3,0.0070527076721191,10,2188.455555555556
15.2,17,64.0,219.6833311509755,0.0,0.0,0.0,0.1,0.3,0.0,0.0,3,0,0,0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0,1247,66,210,124.7,43.69604609623672,124.7,0.0045527935028076,10,1909.344444444444
22.4,6,64.0,73.03320036008992,0.0,0.0,0.0,0.4,0.6,0.0,0.0,6,0,0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1764,66,234,176.4,67.8088817519095,176.4,0.0137582063674926,10,4598.044444444445
29.6,6,64.0,69.50575609788432,0.0,0.0,0.0,0.2,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,6492,66,1466,649.2,688.8103754541836,649.2,0.0147234916687011,10,474459.7333333334
12.8,17,64.0,48.046205323646895,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,1.0,1624,66,234,162.4,49.904798255166696,162.4,0.0208744049072265,10,2490.4888888888886
24.8,6,64.0,125.61218775175271,0.0,0.0,0.0,0.5,0.7,0.0,0.0,7,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1688,66,242,168.8,67.11979340452908,168.8,0.0079874992370605,10,4505.066666666666
20.0,6,64.0,114.21027981396564,0.0,0.0,0.0,0.4,0.5,0.0,0.0,5,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1892,66,242,189.2,56.68783918188372,189.2,0.0087596893310546,10,3213.5111111111105
17.6,17,64.0,191.74750046859072,0.0,0.0,0.0,0.3,0.4,0.0,0.0,4,0,0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1648,66,242,164.8,53.33499997395915,164.8,0.0052263021469116,10,2844.6222222222223
17.6,17,64.0,11959.806102081551,0.0,0.0,0.0,0.4,0.4,0.0,0.0,4,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1876,142,242,187.6,42.38238627857883,187.6,8.45193862915039e-05,10,1796.266666666667
17.6,17,64.0,7955.8118361153265,0.0,0.0,0.0,0.4,0.4,0.0,0.0,4,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1760,106,242,176.0,53.80623673061619,176.0,0.0001372814178466,10,2895.1111111111118
8.0,17,64.0,471.9010812209584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1279,106,181,127.9,25.8476304523258,127.9,0.0021322011947631,10,668.0999999999999
24.8,6,64.0,50.3104170040243,0.0,0.0,0.0,0.2,0.6,0.0,0.0,6,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1761,66,599,176.1,162.70658663168288,176.1,0.0198866128921508,10,26473.43333333333
8.0,17,64.0,576.2039784591714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5383,95,1252,538.3,533.2266664166167,538.3,0.0020131826400756,10,284330.6777777778
8.0,17,64.0,267.57920255183416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8175,89,1252,817.5,562.3473126102765,817.5,0.0047138214111328,10,316234.5
