Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
25.6,6,111.0,4.282763626145306,0.0,0.0,0.0,0.4,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,1.0,1.0,1908,66,376,190.8,159.4022166303426,190.8,0.2334940910339355,10,25409.066666666666
22.4,6,111.1,2.4956345922720784,0.0,0.0,0.0,0.4,0.7,0.0,0.0,7,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.3,0.0,1.0,1.0,6582,66,2866,658.2,963.1625915585478,658.2,0.5651396989822388,10,927682.177777778
16.8,17,133.3,58.20854468368572,0.0,0.2,0.0,0.1,0.3,0.0,0.0,3,2,0,0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0,1952,74,789,195.2,212.2717336078661,195.2,0.0173623085021972,10,45059.288888888885
15.2,17,120.9,106.80002546311032,0.0,0.0,0.0,0.1,0.3,0.0,0.0,3,0,0,0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0,1254,66,203,125.4,46.60042918257299,125.4,0.0094378948211669,10,2171.6
22.4,6,96.0,183.08302741681325,0.0,0.0,0.0,0.6,0.6,0.0,0.0,6,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,4253,106,1466,425.3,554.3673170581237,425.3,0.0054620027542114,10,307323.1222222223
20.8,6,102.7,119.37578446747288,0.0,0.0,0.0,0.2,0.6,0.0,0.0,6,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.2,0.0,1.0,1.0,1172,66,170,117.2,47.88133479992201,117.2,0.0083769083023071,10,2292.6222222222223
15.2,6,95.0,34.718243056440784,0.0,0.0,0.0,0.3,0.4,0.0,0.0,4,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0.3,0.0,1.0,1.0,1392,66,170,139.2,32.22421449779653,139.2,0.0288287878036499,10,1038.4
23.6,6,104.6,76.75605640813548,0.0,0.0,0.0,0.3,0.6,0.0,0.0,6,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1180,66,154,118.0,35.47769252173352,118.0,0.0130316019058227,10,1258.6666666666667
22.4,6,104.6,126.97276368248816,0.0,0.0,0.0,0.3,0.6,0.0,0.0,6,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1188,66,154,118.8,37.75005518759763,118.8,0.0109683990478515,10,1425.0666666666666
19.2,6,88.2,43.43067076573885,0.0,0.0,0.0,0.4,0.5,0.0,0.0,5,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.1,0.0,1.0,1.0,1460,66,170,146.0,29.393876913398135,146.0,0.0230252027511596,10,864.0
10.4,17,68.4,16181.728395061727,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,1601,66,687,160.1,185.56008311176316,160.1,6.1798095703125e-05,10,34432.544444444444
20.0,6,93.7,94.18058278151643,0.0,0.0,0.0,0.2,0.5,0.0,0.0,5,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1109,66,163,110.9,34.88855272307969,110.9,0.0106179952621459,10,1217.2111111111112
