Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
11.6,17,118.3,0.6593157813683099,0.0,0.0,0.0,0.1,0.3,0.0,0.0,3,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0,5093,60,934,509.3,395.6356488824872,509.3,1.516723895072937,10,156527.56666666668
8.0,17,64.0,20.965408583397934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6744,142,930,674.4,247.24940175188837,674.4,0.0526291131973266,10,61132.266666666685
12.8,17,64.0,26.51521511548518,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,1.0,5550,66,1230,555.0,413.6764704720613,555.0,0.043797492980957,10,171128.22222222222
8.0,17,64.0,30.911043227368367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4636,66,930,463.6,319.62867344606127,463.6,0.0344571113586425,10,102162.48888888888
8.0,17,64.0,21.573618107769747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6408,138,1026,640.8,324.66078023411177,640.8,0.0542969942092895,10,105404.6222222222
8.0,17,64.0,23.482385847989164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5476,62,938,547.6,339.05070089557074,547.6,0.0468060970306396,10,114955.3777777778
8.0,17,64.0,26.1541147654656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5396,138,930,539.6,337.5266903026584,539.6,0.0394365072250366,10,113924.26666666668
8.0,17,64.0,23.082164679363324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5844,138,930,584.4,350.35068146073297,584.4,0.0450722932815551,10,122745.6
8.0,17,64.0,41.22948136599866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9088,138,1242,908.8,410.6365789843861,908.8,0.0325623989105224,10,168622.4
8.0,17,64.0,56.15616548400054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8872,202,1242,887.2,361.1490304877229,887.2,0.0178809881210327,10,130428.6222222222
8.0,17,64.0,19.698494916757117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6504,138,938,650.4,313.45784760031484,650.4,0.0567057132720947,10,98255.8222222222
8.0,17,64.0,19.649492331210023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,7244,86,1230,724.4,442.0807367187331,724.4,0.0511189937591552,10,195435.3777777778
8.0,17,64.0,29.2067197047508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4176,138,934,417.6,333.4583765462924,417.6,0.0361042022705078,10,111194.4888888889
9.2,17,82.1,32.697801906531915,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,4206,60,1230,420.6,421.9026217294961,420.6,0.0324485063552856,10,178001.82222222222
8.0,17,64.0,26.428254128879125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5384,138,1026,538.4,342.95681619961687,538.4,0.0423903942108154,10,117619.37777777776
8.0,17,64.0,21.792418616879225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6252,138,934,625.2,314.4959989146656,625.2,0.0498335123062133,10,98907.73333333334
8.0,17,64.0,25.74604721853581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5448,138,930,544.8,305.23171525907986,544.8,0.0437789916992187,10,93166.4
7.2,17,64.0,27.820439178209035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,1.0,1.0,4624,98,930,462.4,315.408447713261,462.4,0.0387909889221191,10,99482.4888888889
8.0,17,64.0,52.26872702349056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,7560,66,1242,756.0,493.5648105590817,756.0,0.0239410161972045,10,243606.22222222225
8.0,17,64.0,383.0694479962006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,12036,858,1242,1203.6,121.43146215046576,1203.6,0.0026626825332641,10,14745.6
8.0,17,64.0,31.283430157755813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9040,438,1242,904.0,256.390327430658,904.0,0.0320701122283935,10,65736.0
7.2,17,64.0,26.734247441499967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,1.0,1.0,4728,98,1126,472.8,370.9737337212853,472.8,0.0420772075653076,10,137621.51111111112
8.0,17,64.0,25.760167742181157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5660,138,930,566.0,342.5343453987903,566.0,0.0409106016159057,10,117329.77777777778
7.2,17,64.0,31.168380283155432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,1.0,1.0,4728,98,930,472.8,330.2634638520518,472.8,0.0370541810989379,10,109073.95555555554
8.0,17,64.0,23.4367103814755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,7260,66,1026,726.0,321.84468303826304,726.0,0.0516077041625976,10,103584.0
7.2,17,64.0,26.235782162462407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,1.0,1.0,5552,98,974,555.2,350.50718807021474,555.2,0.0441998958587646,10,122855.2888888889
8.0,17,64.0,23.92242259427113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5552,138,930,555.2,316.5876392617585,555.2,0.0499490022659301,10,100227.73333333332
8.0,17,64.0,29.90949361492143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5080,66,930,508.0,355.49902328354653,508.0,0.0370061159133911,10,126379.55555555556
9.6,17,64.0,28.150314738514343,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.1,0.0,1.0,1.0,5910,98,934,591.0,292.8985414022329,591.0,0.0399146795272827,10,85789.55555555556
