Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
4.8,17,47.0,2.3872917403985063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.1,0.0,0.2,0.9,0.9,3398,60,1514,339.8,433.344307553346,339.8,0.4188847064971924,10,187787.28888888893
22.4,6,69.2,21.81439552135175,0.0,0.1,0.0,0.1,0.5,0.0,0.0,5,1,0,0,0.0,0.6,0.3,0.0,0.0,0.0,0.0,0.6,0.3,0.0,0.1,0.0,0.0,0.9,0.9,1271,60,380,127.1,106.11990074125272,127.1,0.060173487663269,10,11261.43333333333
30.4,6,131.5,28.99829023428561,0.1,0.1,0.0,0.4,0.9,0.0,0.0,9,1,1,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,4604,66,2962,460.4,899.9954567786563,460.4,0.0454497098922729,10,809991.8222222221
28.0,6,137.4,24.22399040813368,0.0,0.1,0.0,0.3,0.7,0.0,0.0,7,1,0,0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1547,66,380,154.7,116.4197864053472,154.7,0.0478406906127929,10,13553.566666666666
30.4,6,136.9,23.284251571600823,0.1,0.1,0.0,0.2,0.9,0.0,0.0,9,1,1,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,3806,66,2962,380.6,907.9176663601656,380.6,0.0448153018951416,10,824314.4888888891
29.6,6,131.2,23.67066190654096,0.1,0.0,0.0,0.3,0.9,0.0,0.0,9,0,1,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,2412,66,1033,241.2,336.8332261256633,241.2,0.0422940969467163,10,113456.62222222224
28.0,6,114.3,25.593376714033965,0.1,0.1,0.0,0.4,0.7,0.0,0.0,7,1,1,0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,2668,66,1135,266.8,350.0926226649806,266.8,0.0439030170440673,10,122564.84444444446
25.6,6,66.5,20.73879956072928,0.0,0.1,0.0,0.3,0.7,0.0,0.0,7,1,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,3710,66,1372,371.0,466.2931838804137,371.0,0.0503098011016845,10,217429.3333333333
29.6,6,55.2,31.251077577375085,0.0,0.0,0.0,0.5,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,4147,66,1054,414.7,401.1937880321124,414.7,0.0356108903884887,10,160956.45555555553
30.4,6,55.2,28.567602708889712,0.0,0.1,0.0,0.4,0.8,0.0,0.0,8,1,0,0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,2389,66,540,238.9,222.1633283070013,238.9,0.0494518995285034,10,49356.54444444445
28.0,6,121.5,21.54425240596004,0.0,0.1,0.0,0.2,0.8,0.0,0.0,8,1,0,0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,4790,66,2962,479.0,892.5769185653164,479.0,0.0500438928604125,10,796693.5555555555
