Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
15.2,17,55.9,55.0479107852749,0.0,0.1,0.0,0.1,0.3,0.0,0.0,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.1,0.0,1.0,1.0,2462,62,1300,246.2,373.1552551478331,246.2,0.0181659936904907,10,139244.84444444443
11.2,17,58.4,56.97776208006738,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.2,0.0,1.0,1.0,1334,62,190,133.4,48.79025403591263,133.4,0.0175804138183593,10,2380.488888888889
7.2,17,61.9,350.98778242677827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,1.0,1.0,1428,62,190,142.8,46.10326573151961,142.8,0.0028971910476684,10,2125.511111111111
9.6,17,59.7,242.4999855458745,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.1,0.0,1.0,1.0,1384,62,190,138.4,45.19390322697176,138.4,0.0055535078048706,10,2042.4888888888888
9.6,17,61.7,127.22812041205091,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.1,0.0,1.0,1.0,1946,62,532,194.6,123.4541750340317,194.6,0.0078598976135253,10,15240.933333333336
10.4,17,61.7,149.81476322124828,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,1480,66,166,148.0,38.23901439919997,148.0,0.0091475963592529,10,1462.2222222222222
8.0,17,63.0,105.895107313908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1436,62,166,143.6,42.424311688255145,143.6,0.0107577085494995,10,1799.8222222222223
8.0,17,63.0,143.45778665535687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1468,62,282,146.8,67.82461041375599,146.8,0.0070824861526489,10,4600.177777777778
8.0,17,63.0,115.56180069376138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1480,62,166,148.0,38.51695153507811,148.0,0.0096571922302246,10,1483.5555555555557
8.0,17,63.0,172.84552175453925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1428,62,166,142.8,39.31864132387531,142.8,0.0079804182052612,10,1545.9555555555555
8.0,17,63.0,299.8244359934807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1280,62,166,128.0,49.61182654703749,128.0,0.0075697898864746,10,2461.333333333333
7.2,17,63.0,82.17873460974788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,1.0,1.0,1480,62,190,148.0,44.90978611493144,148.0,0.0137998104095458,10,2016.888888888889
8.0,17,63.0,174.56845925574464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1476,62,166,147.6,38.32956503217269,147.6,0.0057801961898803,10,1469.155555555555
8.0,17,63.0,56.844710260715885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1556,62,166,155.6,32.88768766575114,155.6,0.0175917863845825,10,1081.5999999999997
10.4,17,61.7,1065.7614026172023,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,1890,62,604,189.0,152.09134682084243,189.0,0.0009384155273437,10,23131.777777777777
8.0,17,63.0,100.65113734260902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1776,166,282,177.6,36.68242085795319,177.6,0.0099452972412109,10,1345.5999999999997
12.8,17,60.4,131.30753288711625,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,1.0,1938,62,604,193.8,151.6090000260172,193.8,0.0093780994415283,10,22985.288888888885
8.0,17,63.0,98.54342973944506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1380,62,166,138.0,45.64598071632984,138.0,0.0101478099822998,10,2083.555555555556
10.4,17,61.7,264.1948122299349,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,1380,62,166,138.0,45.64598071632984,138.0,0.0037850856781005,10,2083.555555555556
8.0,17,63.0,118.01211548255128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1428,62,166,142.8,42.44944705830166,142.8,0.0101241111755371,10,1801.9555555555555
