Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
15.2,17,54.4,55.53398263927507,0.0,0.1,0.0,0.1,0.3,0.0,0.0,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.1,0.0,1.0,1.0,2366,62,1308,236.6,379.5764305995128,236.6,0.0180069923400878,10,144078.26666666672
8.8,17,55.5,142.89378113012134,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.0,0.0,0.2,0.0,1.0,1.0,1442,92,190,144.2,35.1055551159642,144.2,0.0072118043899536,10,1232.4
12.0,17,60.6,137.47939925135864,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.1,0.0,1.0,1.0,1380,62,190,138.0,51.15553624866901,138.0,0.0073353052139282,10,2616.8888888888887
9.6,17,61.7,152.90546723197002,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.1,0.0,1.0,1.0,1842,62,532,184.2,130.32080076147133,184.2,0.0066553831100463,10,16983.511111111107
7.2,17,63.0,940.279328356536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,1.0,1.0,1580,62,190,158.0,34.56395039150859,158.0,0.0097365140914917,10,1194.6666666666667
10.4,17,61.7,142.6862117413328,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,1376,62,166,137.6,46.128323427393525,137.6,0.0084070920944213,10,2127.822222222222
8.0,17,63.0,117.64568607651744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1484,62,170,148.4,38.74474874812787,148.4,0.0087149143218994,10,1501.1555555555558
8.0,17,63.0,126.2131867272109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1620,62,306,162.0,63.27365609442492,162.0,0.0092877864837646,10,4003.555555555556
8.0,17,63.0,114.64075546991376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1456,62,166,145.6,43.01730917768903,145.6,0.0087229013442993,10,1850.4888888888888
8.0,17,63.0,104.1286991062562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1428,62,166,142.8,39.31864132387532,142.8,0.0098819017410278,10,1545.9555555555555
8.0,17,63.0,187.50101700976776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1380,62,166,138.0,45.64598071632984,138.0,0.0053333044052124,10,2083.555555555556
8.0,17,63.0,76.80426586193447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1380,62,166,138.0,45.64598071632984,138.0,0.014603304862976,10,2083.555555555556
8.0,17,63.0,348.4943708196585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1476,62,166,147.6,38.32956503217269,147.6,0.0028695821762084,10,1469.155555555555
8.0,17,63.0,156.2962631728003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1252,62,166,125.2,52.68944655030813,125.2,0.0074360132217407,10,2776.177777777777
9.6,17,61.7,197.5891536410488,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.1,0.0,1.0,1.0,1842,62,604,184.2,154.81157005282978,184.2,0.0054338932037353,10,23966.622222222224
8.0,17,63.0,123.9817913094886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1404,62,166,140.4,43.41837808527117,140.4,0.0082915067672729,10,1885.155555555556
12.8,17,60.4,132.46286003031835,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,1.0,1794,62,604,179.4,156.65404204452847,179.4,0.008049988746643,10,24540.488888888893
10.4,17,61.7,191.4831334486836,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,1180,62,166,118.0,51.15553624866901,118.0,0.0070717096328735,10,2616.8888888888887
8.0,17,63.0,165.33055831480692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1380,62,166,138.0,45.64598071632984,138.0,0.0061007976531982,10,2083.555555555556
8.0,17,63.0,124.3021918750074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1404,62,166,140.4,43.41837808527117,140.4,0.0101104021072387,10,1885.155555555556
8.0,17,63.0,125.54300748593954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1376,62,166,137.6,46.35898570455953,137.6,0.0079653978347778,10,2149.155555555555
8.0,17,63.0,134.2014091086524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1280,62,166,128.0,49.61182654703749,128.0,0.0094116926193237,10,2461.333333333333
8.0,17,63.0,107.2994676346966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1556,62,166,155.6,32.887687665751145,155.6,0.009470510482788,10,1081.6
8.0,17,63.0,127.82835547970257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1476,62,166,147.6,34.83038265014548,147.6,0.0078230857849121,10,1213.155555555555
7.2,17,63.0,46.125872495510365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,1.0,1.0,1380,62,190,138.0,51.15553624866901,138.0,0.0222358226776123,10,2616.8888888888887
8.0,17,63.0,7294.441739130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1660,166,166,166.0,0.0,166.0,0.0002129793167114,10,0.0
8.0,17,63.0,368.7591985299936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1468,62,258,146.8,59.801151977012765,146.8,0.0027527093887329,10,3576.177777777777
8.0,17,63.0,98.46685494681438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1576,62,186,157.6,34.1734139679111,157.6,0.0125056982040405,10,1167.822222222222
8.0,17,63.0,155.7460713543059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1300,62,166,130.0,47.40370355901648,130.0,0.0070986032485961,10,2247.1111111111118
8.0,17,63.0,124.64795596923553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1528,62,166,152.8,33.09514902351837,152.8,0.0093560934066772,10,1095.2888888888888
8.0,17,63.0,127.21500021231294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1404,62,166,140.4,41.91843932633413,140.4,0.0118296146392822,10,1757.1555555555558
8.0,17,63.0,162.1507188779396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1404,62,166,140.4,43.41837808527117,140.4,0.0061671018600463,10,1885.155555555556
12.8,17,60.4,199.0009868670766,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,1.0,1450,62,260,145.0,62.57617580020193,145.0,0.0081170797348022,10,3915.777777777778
8.0,17,63.0,127.90670866890908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1276,62,166,127.6,50.180120012256296,127.6,0.008810806274414,10,2518.0444444444447
8.0,17,63.0,114.5984699453552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1528,62,166,152.8,33.09514902351837,152.8,0.0109033107757568,10,1095.2888888888888
8.0,17,63.0,121.3253998328064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1404,62,166,140.4,43.41837808527117,140.4,0.0082912921905517,10,1885.155555555556
8.0,17,63.0,110.76263286459366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1428,62,166,142.8,39.31864132387531,142.8,0.00902841091156,10,1545.9555555555555
7.2,17,63.0,117.95403669415164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,1.0,1.0,1404,62,190,140.4,47.85905231916831,140.4,0.0105761766433715,10,2290.488888888889
8.0,17,63.0,193.24760531323287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1356,62,166,135.6,48.960755259243655,135.6,0.005174708366394,10,2397.155555555555
8.0,17,63.0,147.21040014881422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1404,62,166,140.4,43.41837808527117,140.4,0.0067929983139038,10,1885.155555555556
8.0,17,63.0,195.8408546521672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1276,62,166,127.6,50.180120012256296,127.6,0.0090991020202636,10,2518.0444444444447
8.0,17,63.0,99.33036200616684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1404,62,166,140.4,43.41837808527117,140.4,0.0100675106048583,10,1885.155555555556
8.0,17,63.0,184.7881962648527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1356,62,166,135.6,48.960755259243655,135.6,0.0054116010665893,10,2397.155555555555
8.0,17,63.0,210.66741672359063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1224,62,166,122.4,46.85485863576773,122.4,0.007768702507019,10,2195.3777777777777
8.0,17,63.0,132.2223343084838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1380,62,166,138.0,45.64598071632984,138.0,0.0075834989547729,10,2083.555555555556
8.0,17,63.0,109.72126957718255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1504,62,166,150.4,35.09732500094876,150.4,0.0113549947738647,10,1231.8222222222228
8.0,17,63.0,136.5168908692638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1352,62,166,135.2,43.12462560223953,135.2,0.0074550867080688,10,1859.733333333333
8.0,17,63.0,133.72050168652882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1276,62,166,127.6,50.180120012256296,127.6,0.0084964036941528,10,2518.0444444444447
8.0,17,63.0,107.79113575970024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1404,62,166,140.4,43.41837808527117,140.4,0.0104259014129638,10,1885.155555555556
7.2,17,63.0,142.6959204988892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,1.0,1.0,1428,62,190,142.8,45.59922026623799,142.8,0.0070080041885375,10,2079.288888888889
8.0,17,63.0,91.74234387542845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1404,62,166,140.4,43.41837808527117,140.4,0.0109000921249389,10,1885.155555555556
8.0,17,63.0,156.7348891089479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1480,62,166,148.0,38.51695153507811,148.0,0.0063802003860473,10,1483.5555555555557
12.8,17,60.6,180.7796148475079,0.1,0.0,0.0,0.0,0.2,0.0,0.0,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,1.0,1280,62,166,128.0,49.61182654703749,128.0,0.007128095626831,10,2461.333333333333
8.0,17,63.0,60.00778299187364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1452,62,166,145.2,36.35870673656526,145.2,0.0177606105804443,10,1321.955555555556
8.0,17,63.0,1234.1269934678985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1572,62,258,157.2,51.94184782577104,157.2,0.0008102893829345,10,2697.9555555555557
8.0,17,63.0,170.31461659655335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1372,62,166,137.2,46.10326573151962,137.2,0.0059426069259643,10,2125.5111111111114
8.0,17,63.0,156.5605461678294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1328,62,166,132.8,45.05996005324461,132.8,0.0077003002166748,10,2030.4
8.0,17,63.0,120.961507958252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1480,62,166,148.0,38.51695153507811,148.0,0.0106770992279052,10,1483.5555555555557
8.0,17,63.0,121.14912914127264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1404,62,166,140.4,41.91843932633413,140.4,0.0108444929122924,10,1757.1555555555558
8.0,17,63.0,129.79273040098528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1252,62,166,125.2,52.68944655030813,125.2,0.0077047109603881,10,2776.177777777777
7.2,17,63.0,135.53972829388726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,1.0,1.0,1124,62,190,112.4,52.73666234751262,112.4,0.0082380056381225,10,2781.155555555555
8.0,17,63.0,38.41884127133882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,768,62,114,76.8,17.99259106780714,76.8,0.0270011901855468,10,323.7333333333333
8.0,17,63.0,29.49070695224314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1024,62,330,102.4,82.80526016571116,102.4,0.0362843036651611,10,6856.711111111112
8.0,17,63.0,37.87807827388183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1008,62,306,100.8,74.21410467918706,100.8,0.0276716947555542,10,5507.733333333334
8.0,17,63.0,22.864519280250494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,876,66,138,87.6,30.88041450499005,87.6,0.0486402034759521,10,953.6
8.0,17,63.0,30.332534456100564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,872,66,114,87.2,17.693690024035874,87.2,0.0389223098754882,10,313.06666666666666
8.0,17,63.0,22.22024205275998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,924,66,138,92.4,23.866294224282075,92.4,0.0518774986267089,10,569.6
8.0,17,63.0,28.036416625446183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,780,66,114,78.0,16.97056274847714,78.0,0.0357429981231689,10,288.0
8.0,17,63.0,22.214228363087862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1164,66,258,116.4,57.07538874155829,116.4,0.0532424926757812,10,3257.5999999999995
8.0,17,63.0,32.29139913095161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,972,66,210,97.2,45.32548951748895,97.2,0.0324590921401977,10,2054.4
8.0,17,63.0,20.84375818420989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1116,66,258,111.6,57.07538874155831,111.6,0.0571478128433227,10,3257.6000000000004
8.0,17,63.0,28.146574372636582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,900,66,138,90.0,27.712812921102035,90.0,0.0355283021926879,10,768.0
7.2,17,69.5,29.09454138839022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,1.0,1.0,952,66,114,95.2,19.048476171191343,95.2,0.0432590007781982,10,362.8444444444445
8.0,17,63.0,22.66079135213636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,948,66,138,94.8,22.05447800334436,94.8,0.0489297866821289,10,486.4
7.2,17,69.5,18.871414623611404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,1.0,1.0,932,66,138,93.2,23.910945889557222,93.2,0.0561202049255371,10,571.7333333333333
10.4,17,61.7,42.5564486508534,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,1486,66,604,148.6,161.60321778974574,148.6,0.0235159158706665,10,26115.6
10.4,17,61.7,27.104021754021367,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,1140,66,330,114.0,80.0,114.0,0.041565990447998,10,6400.0
7.2,17,69.5,36.84148855528414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,1.0,1.0,788,66,98,78.8,13.701581417242805,78.8,0.0365108013153076,10,187.7333333333333
8.0,17,63.0,25.936570696767564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,996,66,186,99.6,34.31617694324355,99.6,0.0421491861343383,10,1177.6
7.2,17,69.5,31.1853901757527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,1.0,1.0,1148,66,234,114.8,56.24707399797196,114.8,0.0377475023269653,10,3163.7333333333336
8.0,17,63.0,33.33845217145246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,824,66,114,82.4,16.049922118191105,82.4,0.036304497718811,10,257.6
