Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
20.0,6,116.8,0.9763524510035904,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1560,60,270,156.0,91.38319806665166,156.0,1.024220299720764,10,8350.888888888889
20.0,6,234.4,5.473004801124064,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1417,60,398,141.7,115.98376323146844,141.7,0.187587285041809,10,13452.233333333332
18.8,6,158.0,3.0626342908690023,0.0,0.0,0.0,0.5,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1278,60,246,127.8,73.78165987109082,127.8,0.4328320026397705,10,5443.733333333334
18.8,6,175.6,4.029893609488184,0.0,0.0,0.0,0.6,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1425,60,246,142.5,74.13238908271546,142.5,0.2580368041992187,10,5495.611111111111
20.0,6,159.5,4.661585010745097,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1159,60,235,115.9,71.38074748215453,115.9,0.2326478958129882,10,5095.211111111111
18.8,6,194.7,5.620238251886878,0.0,0.0,0.0,0.6,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1425,60,246,142.5,74.13238908271546,142.5,0.1835693120956421,10,5495.611111111111
20.0,6,255.0,4.474068868572499,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1360,60,235,136.0,70.54549359574052,136.0,0.3266646862030029,10,4976.666666666667
15.2,6,178.6,0.6251444908409929,0.0,0.0,0.0,0.4,0.6,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1536,60,246,153.6,81.65401262508645,153.6,1.7732079029083252,10,6667.377777777778
15.2,6,178.6,0.4997842944814956,0.0,0.0,0.0,0.4,0.6,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1536,60,246,153.6,81.65401262508645,153.6,2.4031842947006226,10,6667.377777777778
18.8,6,158.0,0.8712837787028144,0.0,0.0,0.0,0.7,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1146,60,246,114.6,51.30128869942959,114.6,1.3709795951843262,10,2631.822222222222
18.8,6,178.6,0.934129657152939,0.0,0.0,0.0,0.4,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,978,60,246,97.8,57.29029392294804,97.8,1.233545422554016,10,3282.177777777777
15.2,6,178.6,0.625673885769597,0.0,0.0,0.0,0.4,0.6,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1536,60,246,153.6,81.65401262508645,153.6,1.9971597909927368,10,6667.377777777778
20.0,6,137.4,2.6229066966384265,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,980,60,218,98.0,50.63814986966074,98.0,6.699167799949646,10,2564.222222222222
18.8,6,216.8,2.8289318999858226,0.0,0.0,0.0,0.6,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1636,60,251,163.6,81.6853039958161,163.6,0.3553051948547363,10,6672.488888888889
18.8,6,175.6,2.697319127281791,0.0,0.0,0.0,0.6,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1425,60,246,142.5,74.13238908271546,142.5,0.3826309919357299,10,5495.611111111111
20.0,6,159.5,2.804883219253613,0.0,0.0,0.0,0.8,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1797,60,270,179.7,75.05560901388013,179.7,0.3670814990997314,10,5633.344444444444
20.0,6,135.9,2.7172171493858395,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,947,60,218,94.7,52.52523203185303,94.7,0.3700926065444946,10,2758.9
20.0,6,235.9,12.628192911322127,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1226,60,235,122.6,68.53255511879819,122.6,0.0795310974121093,10,4696.711111111112
18.8,6,194.7,3.023944385373418,0.0,0.0,0.0,0.6,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1345,60,251,134.5,74.12039755245065,134.5,0.3684574127197265,10,5493.833333333333
