Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
16.0,6,104.0,2.7338299713594383,0.0,0.0,0.0,0.4,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,835,60,123,83.5,30.732718721258617,83.5,0.3657871961593628,10,944.5
18.8,6,255.0,3.0827765468716755,0.0,0.0,0.0,0.7,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1815,60,267,181.5,77.18412329546076,181.5,0.3245500087738037,10,5957.388888888889
17.6,6,140.4,0.870391570206643,0.0,0.0,0.0,0.5,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1202,60,246,120.2,69.5474258649768,120.2,1.3997891902923585,10,4836.844444444444
18.8,6,119.8,1.1234008734732772,0.0,0.0,0.0,0.8,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1175,60,246,117.5,47.95657758153029,117.5,0.8907428979873657,10,2299.833333333333
17.6,6,197.7,0.9002758928827467,0.0,0.0,0.0,0.5,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1227,60,246,122.7,69.18582064106617,122.7,1.3283589124679565,10,4786.677777777778
15.2,6,178.6,0.5008686348079665,0.0,0.0,0.0,0.4,0.6,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1536,60,246,153.6,81.65401262508645,153.6,2.000301480293274,10,6667.377777777779
15.2,6,178.6,0.1162898495687995,0.0,0.0,0.0,0.3,0.6,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1490,60,246,149.0,85.82281488948935,149.0,8.609632802009582,10,7365.555555555556
14.8,6,162.8,1.5656474221956878,0.0,0.0,0.0,0.5,0.7,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.2,0.0,0.0,0.8,0.8,1327,60,267,132.7,82.25306478585868,132.7,0.6581010103225708,10,6765.566666666666
16.4,6,197.7,0.617827709944816,0.0,0.0,0.0,0.5,0.7,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1413,60,246,141.3,75.1975915689976,141.3,1.7325159072875975,10,5654.677777777779
15.2,6,196.2,0.5205022440409729,0.0,0.0,0.0,0.3,0.6,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1490,60,246,149.0,85.82281488948935,149.0,1.927867293357849,10,7365.555555555556
17.6,6,140.4,0.7719019776889016,0.0,0.0,0.0,0.7,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1411,60,246,141.1,68.13458902952466,141.1,1.3677265882492065,10,4642.322222222223
20.0,6,133.8,0.033866017458619,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1040,60,190,104.0,39.3587488509367,104.0,29.817019605636595,10,1549.111111111111
18.8,6,235.9,5.791433745428737,0.0,0.0,0.0,0.4,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1432,60,278,143.2,99.15621793692796,143.2,0.1726760149002075,10,9831.955555555556
20.0,6,176.4,1.3204572997138335,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,914,60,123,91.4,27.74166541503952,91.4,0.7943132877349853,10,769.5999999999999
16.4,6,178.6,0.6415639295521474,0.0,0.0,0.0,0.4,0.7,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1350,60,246,135.0,79.42151961387907,135.0,1.5864426136016845,10,6307.777777777777
15.2,6,178.6,0.5026607088392483,0.0,0.0,0.0,0.4,0.6,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1536,60,246,153.6,81.65401262508645,153.6,2.0069018840789794,10,6667.377777777778
17.6,6,140.4,0.6719945101034438,0.0,0.0,0.0,0.5,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1202,60,246,120.2,69.5474258649768,120.2,1.5018450975418092,10,4836.844444444444
17.6,6,214.6,1.0821121990587133,0.0,0.0,0.0,0.5,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1244,60,246,124.4,68.93829769358167,124.4,0.9249933004379272,10,4752.488888888889
16.4,6,178.6,0.6504714832041485,0.0,0.0,0.0,0.3,0.7,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1300,60,246,130.0,82.67741865561331,130.0,1.566162109375,10,6835.555555555556
15.2,6,178.6,0.61263840731869,0.0,0.0,0.0,0.4,0.6,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1536,60,246,153.6,81.65401262508645,153.6,1.633406901359558,10,6667.377777777778
14.0,6,255.0,10.726969313730882,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,356,110,246,178.0,96.16652224137046,178.0,1.9670419692993164,2,9248.0
