Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
10.0,17,150.6,24.415013504703364,0.0,0.2,0.0,0.0,0.2,0.0,0.0,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.4,0.3,0.0,0.0,0.7,0.7,1756,60,350,175.6,149.2404473027038,175.6,0.0409584045410156,10,22272.711111111104
20.0,6,243.0,21.529035914029716,0.0,0.0,0.0,0.8,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1239,60,203,123.9,53.18824013716649,123.9,0.049117088317871,10,2828.9888888888886
18.4,6,247.8,1.068778097028946,0.0,0.2,0.0,0.4,0.7,0.0,0.0,7,2,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1512,60,379,151.2,107.87935648471192,151.2,0.948310613632202,10,11637.955555555558
20.0,6,243.5,22.092272004946963,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1043,60,206,104.3,52.05349812132387,104.3,0.0611049890518188,10,2709.5666666666675
20.8,6,239.9,16.06771703253764,0.2,0.2,0.0,0.4,0.9,0.0,0.0,9,2,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1444,60,395,144.4,134.51575702827117,144.4,0.0829045057296753,10,18094.488888888885
20.0,6,241.8,22.940980210052825,0.0,0.0,0.2,0.4,1.0,0.0,0.0,10,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,958,60,206,95.8,51.60706239352216,95.8,0.050209903717041,10,2663.288888888889
20.0,6,235.0,14.87674724379817,0.2,0.0,0.1,0.5,1.0,0.0,0.0,10,0,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1833,60,587,183.3,185.01174136914784,183.3,0.0672189950942993,10,34229.34444444445
20.8,6,246.1,12.152693289586036,0.0,0.2,0.1,0.4,0.9,0.0,0.0,9,2,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,958,60,206,95.8,51.60706239352216,95.8,0.0822903871536255,10,2663.288888888889
20.0,6,239.4,15.755224972738375,0.2,0.0,0.0,0.5,1.0,0.0,0.0,10,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1593,60,427,159.3,135.8627166583157,159.3,0.0680432081222534,10,18458.67777777777
19.6,6,248.0,9.68067400673536,0.0,0.2,0.2,0.3,0.8,0.0,0.0,8,2,0,2,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1059,60,246,105.9,69.19288659649601,105.9,0.1076241970062255,10,4787.655555555557
