Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
20.8,6,233.5,3.242502179871922,0.0,0.2,0.0,0.3,1.0,0.0,0.0,10,2,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,916,60,206,91.6,53.52092010502893,91.6,0.3084038019180298,10,2864.488888888889
20.8,6,239.1,15.61838784788331,0.1,0.2,0.0,0.5,0.9,0.0,0.0,9,2,1,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1224,60,331,122.4,88.08480761932407,122.4,0.064081597328186,10,7758.933333333332
20.0,6,250.5,3.876335559122725,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1208,60,267,120.8,60.79071566539672,120.8,0.2790782928466797,10,3695.51111111111
20.4,6,255.0,20.581167290583156,0.1,0.1,0.2,0.5,0.9,0.0,0.0,9,1,1,2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,885,60,139,88.5,37.42325480232846,88.5,0.0652914047241211,10,1400.5
18.8,6,252.0,3.0413181048349176,0.0,0.0,0.0,0.6,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1788,60,379,178.8,106.53095533432732,178.8,0.3441170930862426,10,11348.844444444445
16.4,6,249.0,0.61258571434184,0.0,0.0,0.0,0.6,0.7,0.0,0.0,7,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1920,60,267,192.0,75.57924465236619,192.0,1.643333411216736,10,5712.222222222223
18.8,6,248.8,2.0324336226409683,0.1,0.0,0.3,0.3,0.9,0.0,0.0,9,0,1,3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1231,60,267,123.1,89.58106198670937,123.1,0.4920210838317871,10,8024.766666666667
17.6,6,247.5,1.6748393354907671,0.0,0.0,0.0,0.6,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1750,60,267,175.0,85.09602419228135,175.0,0.6367005109786987,10,7241.333333333333
20.0,6,249.0,2.665185522292432,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1809,60,267,180.9,93.22785706715204,180.9,0.38591890335083,10,8691.433333333332
14.4,6,228.0,0.1182681486725222,0.0,0.0,0.0,0.3,0.6,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.0,0.1,0.0,0.0,0.9,0.9,1571,60,246,157.1,91.11829917444928,157.1,8.473599004745484,10,8302.544444444444
16.8,6,223.5,1.876731734513164,0.0,0.0,0.0,0.6,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.9,0.9,1436,60,267,143.6,81.59003207091743,143.6,0.5509737968444824,10,6656.933333333334
18.8,6,249.0,1.849129140493694,0.0,0.0,0.0,0.6,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1676,60,267,167.6,90.49518096439046,167.6,0.5436434030532837,10,8189.377777777776
20.0,6,246.0,2.4811500391282246,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1585,60,267,158.5,90.7110798083674,158.5,0.4228781938552856,10,8228.5
15.2,6,255.0,0.6529664291228447,0.0,0.0,0.0,0.3,0.6,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1869,60,246,186.9,87.70081717597239,186.9,1.534628009796143,10,7691.433333333332
15.2,6,250.5,0.1537051850437635,0.0,0.0,0.0,0.5,0.6,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,2043,60,267,204.3,73.06929739789635,204.3,7.006564283370972,10,5339.122222222222
18.8,6,246.0,1.7792064694961804,0.0,0.0,0.0,0.7,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1915,60,267,191.5,89.21416180554894,191.5,0.7587716102600097,10,7959.166666666667
20.0,6,243.0,2.097010556637955,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2455,60,1119,245.5,322.5851308827899,245.5,0.4826014041900635,10,104061.16666666669
20.0,6,244.5,3.194359325668899,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1410,60,468,141.0,143.3596874996594,141.0,0.3211498022079467,10,20552.0
20.0,6,255.0,8.276097761373235,0.0,0.0,0.0,0.8,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2032,60,251,203.2,75.7551611736418,203.2,0.1325281858444214,10,5738.844444444445
11.6,17,253.5,0.3329816162297608,0.0,0.0,0.0,0.2,0.3,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0,2028,60,246,202.8,71.64077051511939,202.8,3.30964469909668,10,5132.399999999999
8.0,17,255.0,0.3993213172097536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,492,246,246,246.0,0.0,246.0,5.006341457366943,2,0.0
