Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
25.6,6,199.2,2.75744475846035,0.0,0.0,0.0,0.5,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,1.0,1.0,3861,66,1591,386.1,479.6995471704717,386.1,0.3626545906066895,10,230111.6555555556
9.6,17,79.2,134.20999750414376,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.1,0.0,1.0,1.0,1793,118,487,179.3,112.4317570795725,179.3,0.0074510097503662,10,12640.9
10.4,17,77.9,163.22535452436918,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,1248,66,134,124.8,21.25401922774451,124.8,0.0061264991760253,10,451.73333333333335
14.4,17,108.4,123.31980853591128,0.0,0.1,0.0,0.0,0.3,0.0,0.0,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.0,0.2,0.0,1.0,1.0,1272,66,182,127.2,44.50418207564568,127.2,0.008129596710205,10,1980.622222222222
9.6,17,71.9,114.39031707330376,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.1,0.0,1.0,1.0,1440,66,214,144.0,38.378234572331344,144.0,0.0164590120315551,10,1472.888888888889
12.0,17,95.2,125.2423595455292,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.1,0.0,1.0,1.0,1656,66,462,165.6,107.93331274449052,165.6,0.0080034017562866,10,11649.6
12.0,17,99.1,19.81205887826717,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.1,0.0,1.0,1.0,1200,66,350,120.0,86.76404785393545,120.0,0.0573046922683715,10,7528.0
7.2,17,63.9,22.16719640699701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,1.0,1.0,1004,86,182,100.4,32.39753077010654,100.4,0.0494621038436889,10,1049.6
12.0,17,97.5,22.271271398836078,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.1,0.0,1.0,1.0,920,66,182,92.0,32.50982757396429,92.0,0.0486774921417236,10,1056.888888888889
8.0,17,64.0,23.44248707095785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2060,86,470,206.0,182.7785545407338,206.0,0.0507987976074218,10,33408.0
