Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
32.0,6,114.7,48.35211251368955,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4486,66,1591,448.6,588.1948278891574,448.6,0.020681619644165,10,345973.1555555555
20.0,6,97.8,219.91485077913637,0.0,0.0,0.0,0.4,0.5,0.0,0.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,2722,66,567,272.2,192.3242632176768,272.2,0.0048799991607666,10,36988.62222222222
10.4,17,62.4,202.4043547079489,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,1284,66,142,128.4,22.247097188921824,128.4,0.0049407005310058,10,494.9333333333334
17.6,17,110.4,133.86176280036128,0.0,0.1,0.0,0.1,0.4,0.0,0.0,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.1,0.0,1.0,1.0,1621,66,551,162.1,142.11454691355294,162.1,0.0080216884613037,10,20196.54444444444
17.6,17,94.7,59.16812319168716,0.0,0.0,0.0,0.1,0.4,0.0,0.0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1561,66,487,156.1,124.9056977616847,156.1,0.0182991027832031,10,15601.433333333329
14.4,17,113.8,97.99981775317706,0.0,0.0,0.0,0.0,0.3,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.1,0.0,1.0,1.0,1180,66,182,118.0,39.46306289852998,118.0,0.0102041006088256,10,1557.3333333333333
13.6,17,91.2,100.46309314797472,0.0,0.0,0.0,0.1,0.3,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.0,0.2,0.0,1.0,1.0,1676,66,462,167.6,111.06274502880493,167.6,0.0099539041519165,10,12334.933333333329
12.0,17,93.7,21.382916624395047,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.1,0.0,1.0,1.0,1344,66,350,134.4,83.78703161388799,134.4,0.0467663049697876,10,7020.2666666666655
12.0,17,63.9,32.889846603589234,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.1,0.0,1.0,1.0,988,66,182,98.8,33.8256970035767,98.8,0.0337769985198974,10,1144.177777777778
11.2,17,97.7,25.91224700477001,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.2,0.0,1.0,1.0,1016,66,182,101.6,43.01730917768903,101.6,0.0385917901992797,10,1850.488888888889
