Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
32.0,6,97.8,3.4425493373736997,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4329,66,1591,432.9,596.2144375604767,432.9,0.2904824018478393,10,355471.65555555554
22.4,6,97.8,167.226999980065,0.0,0.0,0.0,0.4,0.6,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,2574,66,567,257.4,202.7144680469442,257.4,0.0115742921829223,10,41093.15555555556
8.0,17,64.0,427.1663831997474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1452,134,214,145.2,24.787093415727465,145.2,0.0024177074432373,10,614.3999999999999
18.4,17,91.3,99.47665883212336,0.0,0.1,0.0,0.1,0.4,0.0,0.0,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1585,66,551,158.5,141.86006406941237,158.5,0.0100526094436645,10,20124.277777777777
21.6,6,146.9,110.91640883247388,0.0,0.0,0.0,0.2,0.6,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.0,0.0,0.1,0.0,1.0,1.0,1458,66,487,145.8,126.64631415437596,145.8,0.0093637943267822,10,16039.28888888889
10.4,17,77.7,97.6361837587439,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,1396,66,214,139.6,35.53777333110972,139.6,0.0104053020477294,10,1262.9333333333334
12.0,17,79.2,50.25682563799016,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.1,0.0,1.0,1.0,1308,66,214,130.8,44.93155288262854,130.8,0.0200261831283569,10,2018.844444444445
12.0,17,96.1,49.69318989621345,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.1,0.0,1.0,1.0,1680,66,462,168.0,107.21940122944169,168.0,0.0201236009597778,10,11496.0
16.0,6,111.3,41.70560996248358,0.0,0.0,0.0,0.1,0.4,0.0,0.0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.2,0.0,1.0,1.0,1392,66,350,139.2,86.75994979763928,139.2,0.0240962982177734,10,7527.288888888889
6.4,17,62.2,25.7764421378024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,1.0,1.0,1100,86,182,110.0,40.79215610874228,110.0,0.0467207193374633,10,1664.0
12.0,17,97.7,20.1431723244996,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.1,0.0,1.0,1.0,920,66,182,92.0,32.50982757396429,92.0,0.0537312030792236,10,1056.888888888889
7.2,17,62.3,18.18714140019565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,1.0,1.0,956,86,182,95.6,30.35786553761644,95.6,0.0551252841949462,10,921.6
12.8,17,97.8,21.19932797845649,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,1.0,824,66,86,82.4,7.647802879839992,82.4,0.0613417148590087,10,58.48888888888889
