Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
24.8,6,188.6,17.13481968686487,0.0,0.1,0.0,0.4,0.7,0.0,0.0,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.2,0.1,0.0,0.0,0.9,0.9,5699,60,2962,569.9,906.7542175866132,569.9,0.0583606958389282,10,822203.211111111
29.6,6,216.1,22.082943505142048,0.0,0.0,0.0,0.5,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.1,0.0,0.0,0.0,1.0,1.0,1354,66,342,135.4,84.96822935662482,135.4,0.1032174110412597,10,7219.6
27.2,6,74.5,15.596945243220713,0.0,0.1,0.0,0.1,0.7,0.0,0.0,7,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.1,0.1,0.0,0.0,0.9,0.9,1088,60,342,108.8,94.55016305291774,108.8,0.067087697982788,10,8939.73333333333
32.8,6,114.6,16.044440721159493,0.0,0.1,0.0,0.6,1.0,0.0,0.0,10,1,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1153,66,215,115.3,53.54966542067902,115.3,0.062425684928894,10,2867.5666666666666
32.8,6,182.2,11.54990469403232,0.0,0.1,0.0,0.4,1.0,0.0,0.0,10,1,0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3680,66,2498,368.0,755.3081784572735,368.0,0.0868118047714233,10,570490.4444444445
32.8,6,165.2,16.154772611287108,0.1,0.1,0.0,0.4,0.9,0.0,0.0,9,1,1,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3659,66,2498,365.9,756.6665859030793,365.9,0.0667201042175293,10,572544.322222222
33.6,6,196.0,47.06212895255642,0.0,0.2,0.0,0.5,1.0,0.0,0.0,10,2,0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3465,66,2498,346.5,757.5349276876061,346.5,0.021547794342041,10,573859.1666666666
32.0,6,233.0,37.42822315384437,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3922,66,2498,392.2,749.7608211215687,392.2,0.0267179012298584,10,562141.288888889
32.8,6,147.9,36.77023948016927,0.1,0.1,0.0,0.5,1.0,0.0,0.0,10,1,1,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3692,66,2498,369.2,755.8293164171099,369.2,0.034138011932373,10,571277.9555555556
28.8,6,64.0,12.600297891030044,0.1,0.2,0.2,0.2,0.5,0.0,0.0,5,2,1,2,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1511,60,440,151.1,147.2657839116443,151.1,0.0801139831542968,10,21687.21111111111
32.8,6,64.0,85.99484560389881,0.0,0.1,0.0,0.7,0.9,0.0,0.0,9,1,0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2006,66,440,200.6,116.74397438649908,200.6,0.0130160093307495,10,13629.155555555555
32.0,6,64.0,77.19326917591023,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1647,66,440,164.7,148.98996983391572,164.7,0.0135787010192871,10,22198.011111111115
30.4,6,114.7,32.733553050032505,0.1,0.1,0.2,0.2,0.7,0.0,0.0,7,1,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1087,60,364,108.7,99.10493877143,108.7,0.0328197956085205,10,9821.78888888889
32.0,6,198.2,112.32285794625282,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1448,66,440,144.8,108.70326582030548,144.8,0.0093888998031616,10,11816.399999999996
32.0,6,229.8,37.68338547291288,0.1,0.0,0.0,0.4,1.0,0.0,0.0,10,0,1,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1485,66,455,148.5,142.0424427963542,148.5,0.0270467042922973,10,20176.055555555555
32.0,6,231.0,119.0518550476996,0.0,0.0,0.0,0.8,1.0,0.0,0.0,10,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1468,66,391,146.8,90.47135826694914,146.8,0.0086014032363891,10,8185.0666666666675
32.8,6,230.1,35.69720681517013,0.1,0.1,0.0,0.5,1.0,0.0,0.0,10,1,1,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3605,66,2498,360.5,756.4884151275697,360.5,0.0383721828460693,10,572274.7222222222
32.0,6,198.2,18.04536484145194,0.1,0.0,0.0,0.5,1.0,0.0,0.0,10,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1598,66,471,159.8,142.7941797755699,159.8,0.0696905136108398,10,20390.17777777777
32.0,6,64.0,112.9100634501027,0.0,0.0,0.0,0.8,1.0,0.0,0.0,10,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2194,66,439,219.4,108.52772303271944,219.4,0.0102945089340209,10,11778.266666666665
32.0,6,97.6,74.86045444891242,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,916,66,231,91.6,56.71801595025458,91.6,0.013358187675476,10,3216.9333333333334
32.0,6,114.2,71.39289458992062,0.2,0.0,0.0,0.8,1.0,0.0,0.0,10,0,2,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2300,66,439,230.0,117.65486248628514,230.0,0.0145344972610473,10,13842.666666666666
29.6,6,64.0,62.00170884073782,0.0,0.0,0.2,0.4,0.8,0.0,0.0,8,0,0,2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1436,60,295,143.6,103.61595758697916,143.6,0.0161396026611328,10,10736.266666666665
31.2,6,114.3,84.88088396001133,0.1,0.2,0.2,0.2,0.7,0.0,0.0,7,2,1,2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3277,60,2498,327.7,764.6870165847811,327.7,0.0136459112167358,10,584746.2333333333
32.0,6,80.9,25.85963808995345,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2020,66,440,202.0,143.09359796223512,202.0,0.0390015840530395,10,20475.777777777777
29.6,6,114.4,21.21764467826791,0.1,0.0,0.2,0.4,0.8,0.0,0.0,8,0,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1469,60,423,146.9,135.3115335479985,146.9,0.0567991018295288,10,18309.211111111115
30.4,6,164.6,42.57943219356503,0.2,0.1,0.2,0.3,0.8,0.0,0.0,8,1,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1951,60,999,195.1,297.12827383322366,195.1,0.0339100122451782,10,88285.21111111113
30.4,6,114.7,11.73521411436332,0.0,0.1,0.0,0.3,0.8,0.0,0.0,8,1,0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,3803,66,2498,380.3,754.349174969906,380.3,0.0940675973892211,10,569042.6777777779
32.0,6,165.3,30.742569068649765,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1971,66,471,197.1,162.8744915571496,197.1,0.0408296823501586,10,26528.1
30.4,6,80.8,9.223849730319811,0.2,0.1,0.2,0.3,0.7,0.0,0.0,7,1,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1238,60,440,123.8,120.1469470643715,123.8,0.108414602279663,10,14435.288888888888
30.4,6,114.6,24.400894983693192,0.1,0.1,0.2,0.4,0.8,0.0,0.0,8,1,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3765,60,2498,376.5,755.6328105928465,376.5,0.0540393114089965,10,570980.9444444445
32.8,6,182.2,24.458437082694317,0.0,0.1,0.0,0.4,0.9,0.0,0.0,9,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1766,66,440,176.6,162.8327021482137,176.6,0.1344110965728759,10,26514.488888888885
28.4,6,80.8,6.157995909942387,0.2,0.0,0.1,0.4,0.8,0.0,0.0,8,0,2,1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1538,60,439,153.8,123.2412268682846,153.8,0.1623905897140503,10,15188.399999999998
16.4,17,97.8,0.3420359572469732,0.0,0.0,0.1,0.0,0.3,0.0,0.0,3,0,0,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1542,60,214,154.2,77.22089527237215,154.2,2.923669219017029,10,5963.066666666667
18.4,6,85.0,0.5305895199036598,0.0,0.0,0.0,0.2,0.5,0.0,0.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.2,0.0,0.0,0.8,0.8,1230,60,214,123.0,68.97342483401367,123.0,1.910155296325684,10,4757.333333333333
15.2,17,80.9,0.333026096547304,0.0,0.0,0.0,0.0,0.3,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0,1696,66,214,169.6,71.49079194786789,169.6,3.0953574895858766,10,5110.933333333333
13.6,17,85.0,0.4734386689251162,0.0,0.0,0.0,0.1,0.3,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.2,0.0,0.0,0.8,0.8,1457,60,214,145.7,75.15325083528397,145.7,2.612147402763367,10,5648.01111111111
20.0,6,97.8,0.429069510923319,0.0,0.0,0.0,0.1,0.5,0.0,0.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1469,66,214,146.9,73.66055781609163,146.9,2.4846473932266235,10,5425.877777777777
22.4,6,131.6,0.124543614808355,0.0,0.0,0.0,0.0,0.6,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1252,66,214,125.2,76.4268713651597,125.2,8.191750502586364,10,5841.066666666667
32.0,6,232.7,0.1743782693893531,0.3,0.0,0.0,0.6,1.0,0.0,0.0,10,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1074,66,135,107.4,35.63144678510823,107.4,7.783489513397217,10,1269.6
20.0,6,154.4,0.0178805834705878,0.2,0.1,0.0,0.2,0.5,0.0,0.0,5,1,2,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.4,0.1,0.0,0.0,0.9,0.9,2028,60,348,202.8,124.84639451030304,202.8,56.41150269508362,10,15586.622222222222
32.0,6,232.8,10.047654627203697,0.1,0.0,0.0,0.4,1.0,0.0,0.0,10,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2546,66,1308,254.6,388.3238053194496,254.6,0.1213932037353515,10,150795.3777777778
30.4,6,192.7,36.50140982351098,0.0,0.2,0.0,0.4,0.8,0.0,0.0,8,2,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,5143,60,1514,514.3,630.4196221565442,514.3,0.0302777051925659,10,397428.9
32.0,6,182.3,24.53734888305823,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1160,66,217,116.0,57.73887579246567,116.0,0.0518669843673706,10,3333.777777777778
30.4,6,97.8,15.76653091542249,0.1,0.1,0.0,0.5,0.8,0.0,0.0,8,1,1,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1349,66,279,134.9,71.30287511734713,134.9,0.0721498966217041,10,5084.099999999999
29.6,6,97.8,84.16382060800642,0.0,0.0,0.2,0.2,0.8,0.0,0.0,8,0,0,2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,867,60,216,86.7,50.60533568705973,86.7,0.0202666997909545,10,2560.900000000001
32.0,6,80.9,21.026114305795,0.0,0.0,0.0,0.8,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1427,66,247,142.7,61.62800589919417,142.7,0.0713781118392944,10,3798.011111111112
32.8,6,175.2,10.1537993010025,0.0,0.1,0.0,0.3,1.0,0.0,0.0,10,1,0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2373,66,1308,237.3,389.475444954136,237.3,0.100049090385437,10,151691.12222222218
32.8,6,194.6,21.821954291678136,0.1,0.1,0.0,0.4,1.0,0.0,0.0,10,1,1,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3611,66,2498,361.1,756.6419158947573,361.1,0.0523898124694824,10,572506.988888889
33.6,6,165.0,20.663163609456088,0.0,0.2,0.0,0.3,0.9,0.0,0.0,9,2,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3781,66,2498,378.1,757.9297021052371,378.1,0.0491737842559814,10,574457.4333333333
