Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
24.0,6,179.1,11.97556180272534,0.0,0.0,0.0,0.4,0.7,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.0,0.1,0.0,1.0,1.0,3628,66,1607,362.8,477.28277199627104,362.8,0.0835033893585205,10,227798.84444444443
16.8,6,124.8,93.72683535082446,0.0,0.1,0.0,0.1,0.4,0.0,0.0,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.2,0.0,1.0,1.0,1689,66,551,168.9,141.26920715035138,168.9,0.0106965065002441,10,19956.98888888889
9.6,17,75.5,140.61539080467475,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.1,0.0,1.0,1.0,1752,118,462,175.2,102.34668751085422,175.2,0.0071115970611572,10,10474.844444444445
16.8,17,129.5,49.53069700487359,0.0,0.0,0.0,0.2,0.4,0.0,0.0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.1,0.0,1.0,1.0,1821,66,487,182.1,133.57349204755326,182.1,0.0201894998550415,10,17841.877777777776
8.0,17,63.0,2898.620594333103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1372,118,214,137.2,28.77035511309051,137.2,0.0062269926071166,10,827.7333333333332
8.0,17,54.0,291.5363281874483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1252,118,142,125.2,9.577751997902917,125.2,0.0034301042556762,10,91.73333333333332
25.2,6,182.0,38.78960062739528,0.0,0.0,0.0,0.5,0.7,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.0,0.1,0.0,1.0,1.0,4336,66,1594,433.6,470.88927691243,433.6,0.0257801055908203,10,221736.7111111112
8.0,17,53.5,169.78238341968913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1372,118,214,137.2,28.019041144669217,137.2,0.0060164928436279,10,785.0666666666665
12.8,17,91.0,198.7397948304864,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,1.0,1100,66,126,110.0,23.475755815545345,110.0,0.0052057027816772,10,551.1111111111111
24.8,6,178.9,57.64154067941725,0.0,0.0,0.0,0.1,0.7,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,804,66,118,80.4,21.433100050570797,80.4,0.0215121030807495,10,459.37777777777774
