Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
20.8,6,163.5,4.211166352307911,0.0,0.0,0.0,0.6,0.6,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.2,0.0,1.0,1.0,4510,70,1591,451.0,448.56264272055074,451.0,0.237463903427124,10,201208.44444444444
8.0,17,77.2,305.6248679292028,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.3,0.0,1.0,1.0,1416,66,182,141.6,35.65015193983517,141.6,0.0032719850540161,10,1270.9333333333332
13.6,17,92.6,201.24770290046305,0.0,0.1,0.0,0.1,0.2,0.0,0.0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,1.0,1613,74,487,161.3,116.559998856097,161.3,0.0050557136535644,10,13586.233333333332
10.4,17,78.6,35335.33277169334,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,1372,66,214,137.2,35.16563979543415,137.2,5.2809715270996094e-05,10,1236.622222222222
14.4,17,109.8,38.42577510182917,0.0,0.0,0.0,0.1,0.3,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.1,0.0,1.0,1.0,1628,66,462,162.8,111.55148288271803,162.8,0.0276729822158813,10,12443.733333333334
10.4,17,77.2,519.1034542506715,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,1320,66,214,132.0,35.739800409813895,132.0,0.002291202545166,10,1277.3333333333333
11.2,17,91.4,31.766511102325588,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.2,0.0,1.0,1.0,1392,66,350,139.2,80.66501375717012,139.2,0.0341459035873413,10,6506.844444444445
7.2,17,63.0,16.497160208303836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,1.0,1.0,1004,86,182,100.4,32.39753077010654,100.4,0.0713090896606445,10,1049.6
9.6,17,78.5,28.70595095429761,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.1,0.0,1.0,1.0,936,66,182,93.6,31.690166718820947,93.6,0.0383949041366577,10,1004.2666666666668
10.4,17,80.0,15.502071413021904,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,844,70,86,84.4,5.059644256269406,84.4,0.0648256063461303,10,25.59999999999999
8.8,17,78.5,24.66668862238825,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.0,0.0,0.2,0.0,1.0,1.0,1036,70,182,103.6,41.62050776560357,103.6,0.0422182083129882,10,1732.266666666667
8.0,17,63.0,14.807707923067635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,860,86,86,86.0,0.0,86.0,0.0731896877288818,10,0.0
12.8,17,97.0,19.150193017580467,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,1.0,824,66,86,82.4,7.647802879839993,82.4,0.0522187948226928,10,58.4888888888889
8.0,17,63.0,15.608152863966607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,860,86,86,86.0,0.0,86.0,0.0640691995620727,10,0.0
12.0,17,97.0,27.628586466135697,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.1,0.0,1.0,1.0,1032,66,182,103.2,38.2761892913423,103.2,0.0368746995925903,10,1465.0666666666666
6.4,17,61.5,30.14583084771637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,1.0,1.0,972,70,182,97.2,32.044413623039574,97.2,0.0331722021102905,10,1026.8444444444444
12.8,17,97.0,21.676415350792418,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,1.0,824,66,86,82.4,7.647802879839992,82.4,0.0589931011199951,10,58.48888888888889
8.0,17,63.0,12.349627535847834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,860,86,86,86.0,0.0,86.0,0.08264901638031,10,0.0
12.8,17,97.0,23.22417176446616,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,1.0,824,66,86,82.4,7.647802879839992,82.4,0.0430585861206054,10,58.48888888888889
15.2,17,114.0,23.252844996149754,0.0,0.0,0.0,0.2,0.3,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0,873,66,135,87.3,18.37903394873868,87.3,0.0481421947479248,10,337.78888888888895
10.4,17,80.0,18.244647602377288,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,840,66,86,84.0,6.324555320336759,84.0,0.0549355030059814,10,40.0
12.8,17,97.0,25.67962187446428,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,1.0,824,66,86,82.4,7.647802879839992,82.4,0.0499217987060546,10,58.48888888888889
10.4,17,80.0,15.398043995418368,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,840,66,86,84.0,6.324555320336759,84.0,0.071167516708374,10,40.0
