Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
8.0,17,63.9,105.5720589086644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8412,86,1398,841.2,507.46883867112695,841.2,0.0094722032546997,10,257524.62222222224
8.0,17,63.9,105.92559480966848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8828,86,1398,882.8,555.3226889736172,882.8,0.0094558954238891,10,308383.28888888884
8.0,17,63.8,98.01813928597302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8236,86,1398,823.6,532.4499350486703,823.6,0.0102173089981079,10,283502.9333333333
8.0,17,63.7,94.85426881117364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5348,86,1398,534.8,439.96686743940666,534.8,0.0105583906173706,10,193570.84444444443
10.4,17,80.5,161.8828614986781,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,4428,70,1398,442.8,495.5725756917727,442.8,0.0107714176177978,10,245592.17777777775
10.4,17,80.7,103.0048011395032,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,5560,66,1398,556.0,490.6567027973836,556.0,0.0131816864013671,10,240744.0
8.0,17,63.8,255.1466043750152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,7996,86,1398,799.6,564.7896757004131,799.6,0.0058339118957519,10,318987.37777777785
10.4,17,64.0,103.89604213008606,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,10008,66,1398,1000.8,529.7682512193421,1000.8,0.0110497951507568,10,280654.4
10.4,17,63.8,115.44919805231446,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,1.0,1.0,6796,70,1398,679.6,566.1604012998437,679.6,0.0086759090423583,10,320537.60000000003
8.0,17,63.9,162.6310667188827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,10652,86,1398,1065.2,507.07632561577947,1065.2,0.0061725854873657,10,257126.4
8.0,17,63.9,192.01963091319456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9932,86,1398,993.2,535.1994020923416,993.2,0.0052751064300537,10,286438.4
8.0,17,64.0,121.81766431413553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,12620,486,1398,1262.0,290.5810271393047,1262.0,0.0082361936569213,10,84437.33333333333
8.0,17,63.8,177.45630550396223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8428,86,1398,842.8,584.8724077380751,842.8,0.0057579040527343,10,342075.7333333333
8.0,17,63.9,115.94578531404544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9788,86,1398,978.8,552.0347815129044,978.8,0.0106794118881225,10,304742.4
8.0,17,63.9,277.9396582000835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9740,86,1398,974.0,557.3397128821483,974.0,0.0036823987960815,10,310627.5555555556
8.0,17,63.8,88.45253033086104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,7596,86,1398,759.6,568.7169184518193,759.6,0.0113711833953857,10,323438.93333333335
8.0,17,64.0,1292.3444769681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6572,118,1414,657.2,652.066254302429,657.2,0.0012768030166625,10,425190.4
