Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
3.2,0,76.6,2.3761181292660734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6,0.0,0.0,0.4,0.4,1756,60,350,175.6,149.2404473027038,175.6,0.4208544969558715,10,22272.711111111104
15.2,6,46.2,2.363158848994052,0.1,0.1,0.0,0.4,0.7,0.0,0.0,7,1,1,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.2,0.0,0.0,0.8,0.8,633,60,93,63.3,10.435516278555651,63.3,0.5224660158157348,10,108.9
19.2,6,55.9,19.417058274266207,0.0,0.1,0.0,0.7,0.9,0.0,0.0,9,1,0,0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1192,60,622,119.2,176.91730648337753,119.2,0.0515071868896484,10,31299.733333333337
17.6,6,125.7,12.370374128031466,0.2,0.2,0.0,0.2,0.7,0.0,0.0,7,2,2,0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.9,0.9,1276,60,672,127.6,191.8750750995148,127.6,0.0825176000595092,10,36816.04444444445
18.8,6,192.9,39.03275759380584,0.0,0.0,0.1,0.3,0.9,0.0,0.0,9,0,0,1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,878,60,296,87.8,73.74701500550528,87.8,0.0364593029022216,10,5438.62222222222
19.6,6,255.0,20.955352945202776,0.0,0.2,0.0,0.2,0.7,0.0,0.0,7,2,0,0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,881,60,228,88.1,58.04682018279152,88.1,0.0544739961624145,10,3369.4333333333334
20.4,6,192.8,13.673304726010942,0.2,0.1,0.0,0.3,1.0,0.0,0.0,10,1,2,0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1692,60,523,169.2,187.65322628010776,169.2,0.0933478116989135,10,35213.73333333333
20.8,6,172.0,5.733892572905316,0.2,0.2,0.0,0.2,0.9,0.0,0.0,9,2,2,0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1142,60,523,114.2,145.76754706647765,114.2,0.1938642978668213,10,21248.17777777778
20.4,6,192.8,0.4143122352332693,0.2,0.1,0.0,0.2,0.9,0.0,0.0,9,1,2,0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,832,60,213,83.2,51.92687165620514,83.2,2.4536125898361205,10,2696.4000000000005
16.0,6,121.2,0.1639612890826513,0.0,0.0,0.0,0.5,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,1270,60,588,127.0,168.01388831482552,127.0,6.111263012886047,10,28228.666666666668
