Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
18.0,6,105.3,1.2288973637139826,0.0,0.0,0.0,0.3,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,1062,60,223,106.2,74.71248594147805,106.2,0.8137376070022583,10,5581.955555555556
20.0,6,130.8,1.6245354151907376,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1174,60,223,117.4,74.48221264167708,117.4,0.6475490093231201,10,5547.6
20.0,6,192.9,2.0312751076028013,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1684,60,266,168.4,77.64334413772302,168.4,0.5072669982910156,10,6028.488888888888
18.0,6,146.7,1.0180139487413489,0.0,0.0,0.0,0.5,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,1472,60,266,147.2,94.09191723463228,147.2,0.9840085983276368,10,8853.28888888889
18.0,6,126.0,1.139587503570802,0.0,0.0,0.0,0.4,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,1190,60,266,119.0,95.3041913500602,119.0,0.8849642992019653,10,9082.888888888889
20.0,6,110.1,1.069432582198512,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1468,60,266,146.8,78.76660318801223,146.8,0.9847992897033692,10,6204.177777777779
20.0,6,213.6,0.0960218586869106,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2600,60,724,260.0,252.7356985732988,260.0,10.415366697311402,10,63875.333333333336
20.0,6,130.8,1.957701496431561,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1194,60,223,119.4,76.98802215640791,119.4,0.7420047998428345,10,5927.155555555556
14.0,6,137.1,0.923445102382582,0.0,0.0,0.0,0.5,0.7,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.7,0.7,1452,60,266,145.2,92.55004652138815,145.2,1.17244131565094,10,8565.511111111111
14.0,6,95.7,1.3312985895510665,0.0,0.0,0.0,0.3,0.7,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.7,0.7,1298,60,434,129.8,126.33447668787804,129.8,0.8103664875030517,10,15960.4
