Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
20.0,6,110.1,1.7241665077183128,0.0,0.0,0.0,0.3,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1053,60,222,105.3,73.16351549782172,105.3,0.5799903869628906,10,5352.9
12.0,6,132.3,0.0391951384902123,0.0,0.0,0.0,0.5,0.6,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.6,0.6,1340,60,223,134.0,78.50831520008282,134.0,25.70431339740753,10,6163.555555555556
10.0,0,65.4,0.9782826040536542,0.0,0.0,0.0,0.2,0.5,0.0,0.0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.5,924,60,222,92.4,68.305197459637,92.4,1.5275859117507935,10,4665.600000000001
20.0,6,130.8,1.5030076608416978,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1268,60,266,126.8,87.81014874274057,126.8,1.0360419034957886,10,7710.622222222221
20.0,6,130.8,2.7224945745537514,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1174,60,223,117.4,74.48221264167708,117.4,0.4146925926208496,10,5547.6
20.0,6,192.9,2.381005066677218,0.0,0.0,0.0,0.7,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1658,60,266,165.8,76.03040327541491,165.8,0.4352843046188354,10,5780.622222222223
20.0,6,130.8,1.6425857705205342,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1243,60,266,124.3,85.11306206061049,124.3,0.6129832029342651,10,7244.233333333334
14.0,6,137.1,0.8984285152280735,0.0,0.0,0.0,0.5,0.7,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.7,0.7,1397,60,263,139.7,85.80734234318179,139.7,1.1730320930480955,10,7362.899999999999
14.0,6,75.0,2.747993337156048,0.0,0.0,0.0,0.4,0.7,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.7,0.7,1012,60,266,101.2,86.85722639929149,101.2,0.7282938003540039,10,7544.17777777778
18.0,6,146.7,2.1260645646207337,0.0,0.0,0.0,0.7,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,2122,60,633,212.2,168.21665923577382,212.2,0.4704209089279175,10,28296.844444444447
20.0,6,172.2,0.026112555663518,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1049,60,222,104.9,72.99383535614498,104.9,38.44874398708343,10,5328.100000000001
20.0,6,130.8,0.9920014856711704,0.0,0.0,0.0,0.4,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1199,60,223,119.9,77.79667230815353,119.9,1.37968270778656,10,6052.322222222222
18.0,6,167.4,0.8984950292233929,0.0,0.0,0.0,0.6,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,1546,60,266,154.6,83.78305317902898,154.6,1.1521615982055664,10,7019.599999999999
18.0,6,63.9,1.2178060772480808,0.0,0.0,0.0,0.4,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,806,60,266,80.6,65.14291979946861,80.6,1.1751019954681396,10,4243.6
20.0,6,172.2,2.0280688758475662,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2057,60,818,205.7,233.0999070498885,205.7,0.493276309967041,10,54335.56666666665
17.142857142857142,6,189.0,1.8924817237081548,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.0,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.1428571428571428,0.0,0.0,0.8571428571428571,0.8571428571428571,990,60,266,141.42857142857142,102.81189480933476,141.42857142857142,0.5571944032396589,7,10570.285714285716
