Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
18.4,6,209.6,6.180431349284587,0.0,0.1,0.0,0.6,0.9,0.0,0.0,9,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,1079,60,202,107.9,47.51713141360469,107.9,0.16180100440979,10,2257.8777777777773
14.4,6,169.7,5.116853809492381,0.0,0.1,0.0,0.5,0.6,0.0,0.0,6,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.7,0.7,921,60,129,92.1,33.88362436340009,92.1,0.2156935930252075,10,1148.1
22.4,6,178.6,10.315530536208849,0.0,0.1,0.0,0.7,0.9,0.0,0.0,9,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1169,60,203,116.9,50.45008534295171,116.9,0.1105451107025146,10,2545.2111111111108
16.8,6,229.5,3.196556931247303,0.0,0.0,0.0,0.6,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.9,0.9,1772,60,235,177.2,81.25378623656732,177.2,0.3156315803527832,10,6602.177777777778
16.8,6,161.2,6.830633414717401,0.0,0.2,0.0,0.3,0.8,0.0,0.0,8,2,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,790,60,178,79.0,38.80721582386451,79.0,0.1684002161026001,10,1506.0
20.4,6,239.7,8.810789304636694,0.1,0.1,0.0,0.3,1.0,0.0,0.0,10,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1530,60,587,153.0,185.8338565015057,153.0,0.1290189027786255,10,34534.22222222222
19.2,6,245.8,4.437147766093995,0.1,0.1,0.0,0.4,0.8,0.0,0.0,8,1,1,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1301,60,347,130.1,101.11758831512284,130.1,0.2253700017929077,10,10224.766666666666
20.4,6,255.0,8.167486374391547,0.1,0.1,0.2,0.5,0.9,0.0,0.0,9,1,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1318,60,411,131.8,111.47077344906752,131.8,0.1228026866912841,10,12425.733333333335
20.4,6,245.9,15.546516446458844,0.1,0.1,0.0,0.5,1.0,0.0,0.0,10,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2052,60,709,205.2,221.0192550686729,205.2,0.0649056911468505,10,48849.511111111104
20.4,6,242.0,19.84142204527812,0.1,0.1,0.2,0.3,1.0,0.0,0.0,10,1,1,2,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,901,60,235,90.1,57.25469413069989,90.1,0.061183214187622,10,3278.1
19.2,6,250.3,3.2910151284705376,0.2,0.1,0.0,0.5,0.8,0.0,0.0,8,1,2,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,2142,60,645,214.2,212.8159350758825,214.2,0.3044548988342285,10,45290.62222222222
20.4,6,235.9,14.288818294085084,0.0,0.1,0.2,0.5,0.9,0.0,0.0,9,1,0,2,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1767,60,725,176.7,221.88337777610408,176.7,0.0707881927490234,10,49232.23333333332
18.8,6,159.5,0.6326339976368595,0.1,0.0,0.2,0.5,0.9,0.0,0.0,9,0,1,2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,848,60,214,84.8,46.36282035328644,84.8,1.5813632011413574,10,2149.5111111111114
12.4,6,122.8,0.1148630384382247,0.0,0.1,0.0,0.3,0.6,0.0,0.0,6,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.6,0.6,869,60,202,86.9,49.34785822212663,86.9,9.321389198303224,10,2435.211111111111
18.4,6,169.4,3.502780516765486,0.1,0.1,0.0,0.6,0.7,0.0,0.0,7,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,996,60,123,99.6,30.65289545866752,99.6,0.3033488988876343,10,939.6
12.4,6,95.7,27.00206717581037,0.0,0.1,0.1,0.2,0.5,0.0,0.0,5,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.6,0.6,780,60,158,78.0,38.134265722866914,78.0,0.0370342016220092,10,1454.2222222222222
20.0,6,255.0,9.77226722534324,0.0,0.0,0.2,0.7,1.0,0.0,0.0,10,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1215,60,235,121.5,63.41617389208459,121.5,0.1030972957611084,10,4021.6111111111113
15.6,6,202.4,2.726111079479942,0.0,0.2,0.0,0.3,0.7,0.0,0.0,7,2,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.2,0.0,0.0,0.8,0.8,1142,60,235,114.2,76.85599810323488,114.2,0.3681636095046997,10,5906.844444444444
20.0,6,239.8,9.79319732656218,0.1,0.0,0.0,0.4,1.0,0.0,0.0,10,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1648,60,587,164.8,182.9971463044043,164.8,0.1075819015502929,10,33487.95555555556
20.4,6,204.5,6.149993240483084,0.1,0.1,0.0,0.4,1.0,0.0,0.0,10,1,1,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1143,60,347,114.3,98.77139711925152,114.3,0.1858145952224731,10,9755.78888888889
19.2,6,255.0,7.199056123508587,0.1,0.1,0.1,0.5,0.8,0.0,0.0,8,1,1,1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1472,60,411,147.2,111.08635279717204,147.2,0.1881850957870483,10,12340.177777777775
20.8,6,248.9,18.47039732255898,0.0,0.2,0.1,0.4,0.9,0.0,0.0,9,2,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1765,60,709,176.5,219.1865010036481,176.5,0.0541619062423706,10,48042.72222222222
