Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
18.4,6,208.7,9.07123278072176,0.0,0.1,0.0,0.3,0.9,0.0,0.0,9,1,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,1681,60,683,168.1,211.0284077769836,168.1,0.1102385997772216,10,44532.98888888888
20.4,6,232.5,9.937187501184605,0.1,0.1,0.0,0.3,1.0,0.0,0.0,10,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1121,60,400,112.1,108.70393021618143,112.1,0.1142587900161743,10,11816.544444444444
20.4,6,232.1,5.043291729793425,0.1,0.1,0.0,0.6,1.0,0.0,0.0,10,1,1,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2119,60,1147,211.9,332.0644013842295,211.9,0.2258805990219116,10,110266.76666666666
18.4,6,208.7,1.0129763149298168,0.0,0.1,0.0,0.5,0.9,0.0,0.0,9,1,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,1219,60,315,121.9,87.71221883713427,121.9,0.9908534049987792,10,7693.433333333332
20.4,6,231.6,8.894279827606827,0.1,0.1,0.0,0.5,1.0,0.0,0.0,10,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1715,60,587,171.5,174.59110961201762,171.5,0.1138426065444946,10,30482.055555555555
14.8,6,173.7,1.4697945814837248,0.1,0.2,0.0,0.3,0.6,0.0,0.0,6,2,1,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.7,0.7,808,60,145,80.8,34.27924542148888,80.8,0.6803671836853027,10,1175.0666666666666
20.4,6,243.5,19.28655051431672,0.1,0.1,0.1,0.4,0.9,0.0,0.0,9,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1604,60,395,160.4,136.32738373326012,160.4,0.0672999143600463,10,18585.15555555556
20.4,6,240.9,31.801049343402177,0.1,0.1,0.1,0.5,1.0,0.0,0.0,10,1,1,1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1024,60,235,102.4,56.03808228933844,102.4,0.0314455032348632,10,3140.266666666667
20.4,6,238.8,17.755486487928074,0.1,0.1,0.0,0.5,1.0,0.0,0.0,10,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2313,60,891,231.3,274.82198278562475,231.3,0.0705878973007202,10,75527.12222222223
20.0,6,243.9,19.44508113120074,0.1,0.0,0.2,0.3,1.0,0.0,0.0,10,0,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1189,60,411,118.9,116.953409527042,118.9,0.051426887512207,10,13678.1
18.4,6,227.2,5.699745989675429,0.1,0.1,0.0,0.6,0.8,0.0,0.0,8,1,1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,1040,60,203,104.0,51.67419300020293,104.0,0.1754464149475097,10,2670.222222222222
15.2,6,204.0,1.105192322595168,0.0,0.1,0.1,0.2,0.6,0.0,0.0,6,1,0,1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.2,0.0,0.0,0.8,0.8,1104,60,235,110.4,81.35272992756093,110.4,0.9310537815093994,10,6618.266666666667
19.2,6,255.0,9.808835122719652,0.1,0.1,0.2,0.4,0.8,0.0,0.0,8,1,1,2,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,2085,60,709,208.5,225.3285255897363,208.5,0.102724814414978,10,50772.944444444445
20.4,6,255.0,1.3052698457590333,0.1,0.1,0.2,0.5,0.9,0.0,0.0,9,1,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2175,60,709,217.5,264.92021859839656,217.5,0.7883939981460572,10,70182.72222222222
20.4,6,255.0,19.61518855685888,0.1,0.1,0.2,0.4,0.9,0.0,0.0,9,1,1,2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1749,60,725,174.9,222.8439663381832,174.9,0.0715947866439819,10,49659.43333333333
20.4,6,255.0,12.268179222942932,0.2,0.1,0.3,0.3,0.9,0.0,0.0,9,1,2,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1590,60,709,159.0,220.97561454201733,159.0,0.1026890039443969,10,48830.22222222222
17.2,6,212.7,0.0740971320416435,0.0,0.1,0.1,0.4,0.8,0.0,0.0,8,1,0,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.9,0.9,1107,60,214,110.7,60.86241314089784,110.7,13.495798993110656,10,3704.233333333334
6.4,0,71.7,0.4751276793265158,0.1,0.1,0.0,0.1,0.2,0.0,0.0,2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.3,0.3,663,60,123,66.3,19.92234925906079,66.3,2.104697418212891,10,396.9000000000001
18.0,6,229.5,17.31452019055325,0.0,0.0,0.2,0.6,0.9,0.0,0.0,9,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,1040,60,203,104.0,51.67419300020293,104.0,0.0774540901184082,10,2670.222222222222
8.8,0,99.7,0.0171348966524113,0.0,0.2,0.0,0.0,0.3,0.0,0.0,3,2,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,0.0,0.4,0.4,600,60,60,60.0,0.0,60.0,58.382753300666806,10,0.0
20.0,6,241.8,15.51799868583843,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1473,60,400,147.3,111.08660285260925,147.3,0.0644412994384765,10,12340.233333333334
20.8,6,243.7,30.383973724186543,0.2,0.2,0.2,0.3,0.9,0.0,0.0,9,2,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1605,60,683,160.5,208.9275525684016,160.5,0.0395622968673706,10,43650.72222222222
20.0,6,244.0,19.024245764191743,0.0,0.0,0.0,0.6,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1601,60,400,160.1,131.8462488405845,160.1,0.06077880859375,10,17383.433333333334
20.0,6,241.6,16.663861746853204,0.2,0.0,0.0,0.4,1.0,0.0,0.0,10,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2660,60,1147,266.0,402.4894753627451,266.0,0.0686429023742675,10,161997.77777777778
17.6,6,222.5,8.09543505756433,0.0,0.2,0.2,0.2,0.7,0.0,0.0,7,2,0,2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.9,0.9,965,60,214,96.5,62.64405620470132,96.5,0.1346749067306518,10,3924.277777777778
20.0,6,245.8,12.57758539258624,0.0,0.0,0.0,0.8,1.0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1182,60,203,118.2,47.047966067738905,118.2,0.080472993850708,10,2213.5111111111114
16.0,6,194.8,8.585892930580288,0.0,0.0,0.0,0.7,0.8,0.0,0.0,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,1377,60,235,137.7,72.55503658143473,137.7,0.1184210062026977,10,5264.233333333333
19.2,6,248.1,1.3201250660172064,0.0,0.1,0.0,0.5,0.8,0.0,0.0,8,1,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1293,60,235,129.3,73.67202092155927,129.3,0.7735310792922974,10,5427.566666666666
19.2,6,238.4,22.7603343366907,0.0,0.1,0.0,0.4,0.9,0.0,0.0,9,1,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1919,60,709,191.9,215.4702609023652,191.9,0.0502974987030029,10,46427.43333333333
20.8,6,242.5,13.82284314681867,0.2,0.2,0.2,0.3,0.9,0.0,0.0,9,2,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1531,60,587,153.1,185.9817494032979,153.1,0.0738503217697143,10,34589.2111111111
20.0,6,238.7,20.201285390626204,0.2,0.0,0.0,0.5,1.0,0.0,0.0,10,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1774,60,709,177.4,210.90714123097447,177.4,0.0557899951934814,10,44481.82222222222
19.6,6,248.0,3.033379802250121,0.0,0.2,0.2,0.3,0.8,0.0,0.0,8,2,0,2,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1270,60,401,127.0,118.1956946010396,127.0,0.3443298816680908,10,13970.222222222224
20.8,6,240.9,24.548248971670308,0.2,0.2,0.1,0.3,0.9,0.0,0.0,9,2,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1727,60,725,172.7,230.55057290465933,172.7,0.0493107080459594,10,53153.56666666664
20.0,6,243.5,15.110443427307429,0.0,0.0,0.1,0.5,1.0,0.0,0.0,10,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1988,60,645,198.8,205.16811534825663,198.8,0.0662492036819458,10,42093.95555555556
