Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
18.4,6,208.7,6.087053062513451,0.0,0.1,0.0,0.6,0.9,0.0,0.0,9,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,1079,60,202,107.9,47.51713141360469,107.9,0.1642831087112427,10,2257.8777777777773
14.4,6,173.9,4.564555152458587,0.0,0.1,0.0,0.5,0.6,0.0,0.0,6,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.7,0.7,849,60,129,84.9,32.343469201679646,84.9,0.2393249988555908,10,1046.1
18.0,6,229.5,6.067036911352753,0.0,0.0,0.0,0.6,0.9,0.0,0.0,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,1426,60,235,142.6,77.47286263230787,142.6,0.1653398990631103,10,6002.044444444445
17.2,6,218.6,4.73598995509943,0.0,0.1,0.0,0.3,0.8,0.0,0.0,8,1,0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.9,0.9,1355,60,400,135.5,113.86468577511934,135.5,0.3390161991119385,10,12965.166666666666
20.4,6,238.2,8.25012308393764,0.1,0.1,0.0,0.3,1.0,0.0,0.0,10,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1365,60,587,136.5,167.92872165164468,136.5,0.1368404150009155,10,28200.055555555555
19.2,6,250.3,4.4033388621291065,0.1,0.1,0.0,0.6,0.8,0.0,0.0,8,1,1,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1663,60,411,166.3,122.54708845537247,166.3,0.2275791883468628,10,15017.78888888889
20.8,6,250.4,14.939108135061977,0.1,0.2,0.2,0.3,0.9,0.0,0.0,9,2,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1275,60,401,127.5,118.6144548058494,127.5,0.0862442016601562,10,14069.388888888889
20.4,6,243.2,16.90331472786991,0.2,0.1,0.0,0.5,1.0,0.0,0.0,10,1,2,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1662,60,709,166.2,210.4818809831911,166.2,0.0657166957855224,10,44302.62222222222
18.8,6,242.9,3.7636657421497945,0.1,0.0,0.2,0.3,0.9,0.0,0.0,9,0,1,2,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1391,60,459,139.1,131.2092899827515,139.1,0.2668589115142822,10,17215.877777777776
20.8,6,255.0,10.910991337654576,0.1,0.2,0.2,0.4,0.8,0.0,0.0,8,2,1,2,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1669,60,645,166.9,201.29549865254756,166.9,0.0933804988861084,10,40519.87777777777
16.8,6,229.5,0.1055130727951234,0.1,0.0,0.2,0.3,0.8,0.0,0.0,8,0,1,2,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.9,0.9,1760,60,725,176.0,223.0251605138358,176.0,9.484684300422668,10,49740.22222222222
20.4,6,232.6,10.946895224613018,0.1,0.1,0.0,0.6,1.0,0.0,0.0,10,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1079,60,202,107.9,47.51713141360469,107.9,0.1058661937713623,10,2257.8777777777773
14.4,6,171.9,4.151972152719731,0.0,0.1,0.0,0.5,0.6,0.0,0.0,6,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.7,0.7,912,60,129,91.2,33.081717005016536,91.2,0.2847567081451416,10,1094.4
18.0,6,229.5,8.540855583459635,0.0,0.0,0.2,0.5,0.9,0.0,0.0,9,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,1092,60,235,109.2,68.42156904888334,109.2,0.1185979843139648,10,4681.51111111111
17.2,6,221.9,2.5243427344341978,0.0,0.1,0.0,0.3,0.8,0.0,0.0,8,1,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.9,0.9,1206,60,235,120.6,79.45816509333702,120.6,0.4149216175079345,10,6313.600000000001
